"","gene","cluster_id","sc_122.cpm","sc_126.cpm","sc_123.cpm","sc_127.cpm","sc_122.frq","sc_126.frq","sc_123.frq","sc_127.frq","WT.frq","gtl1.frq","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","Name","TF_Name","Description","up_dn_label","clust_up_dn"
"6575","AT5G15960","Proximal Lateral Root Cap",132,101,61.2,69.9,0.249,0.239,0.165,0.139,0.245,0.15,-0.821,6.51,35.6,4.36e-06,0.00132,1,"gtl1-WT","KIN1",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6576","AT5G26270","Proximal Lateral Root Cap",10.6,15.2,34.5,28.4,0.0546,0.0849,0.174,0.141,0.0663,0.155,1.29,4.49,65.1,3.7e-08,3.01e-05,0.0194,"gtl1-WT","AT5G26270",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6577","AT5G26340","Proximal Lateral Root Cap",173,200,120,123,0.375,0.418,0.355,0.291,0.391,0.318,-0.614,7.27,23.8,6.25e-05,0.00973,1,"gtl1-WT","STP13",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6578","AT5G27930","Proximal Lateral Root Cap",12.7,10.2,18.7,16.9,0.0821,0.0984,0.138,0.12,0.0884,0.128,0.641,3.89,20,0.000174,0.0206,1,"gtl1-WT","PPC6-7",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6579","AT5G35940","Proximal Lateral Root Cap",704,875,511,515,0.794,0.835,0.739,0.742,0.81,0.741,-0.613,9.35,19.5,0.000199,0.0222,1,"gtl1-WT","JAL41",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6580","AT5G38200","Proximal Lateral Root Cap",459,560,346,306,0.676,0.747,0.642,0.561,0.704,0.594,-0.642,8.71,21.1,0.00013,0.0171,1,"gtl1-WT","AT5G38200",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6581","AT5G39050","Proximal Lateral Root Cap",242,342,174,167,0.609,0.74,0.57,0.518,0.66,0.539,-0.759,7.85,29.5,1.6e-05,0.00338,1,"gtl1-WT","PMAT1",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6582","AT5G41685","Proximal Lateral Root Cap",14.5,12.2,20.5,20.3,0.0901,0.122,0.153,0.143,0.102,0.147,0.62,4.1,19.4,0.000205,0.0226,1,"gtl1-WT","TOM7-1",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6583","AT5G44585","Proximal Lateral Root Cap",39.5,46.9,74.6,63.7,0.181,0.277,0.282,0.257,0.218,0.267,0.675,5.82,25.7,3.93e-05,0.00693,1,"gtl1-WT","AT5G44585",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6584","AT5G47450","Proximal Lateral Root Cap",74.3,71.1,33.8,46.7,0.285,0.325,0.184,0.195,0.3,0.19,-0.867,5.82,40.9,1.58e-06,0.000578,0.829,"gtl1-WT","TIP2-3",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6585","AT5G51500","Proximal Lateral Root Cap",13,9.68,30.5,25.7,0.0668,0.0765,0.151,0.139,0.0705,0.144,1.32,4.32,88.3,2.44e-09,3.04e-06,0.00128,"gtl1-WT","PME60",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6586","AT5G52310","Proximal Lateral Root Cap",45.7,31.2,18.1,18.2,0.224,0.251,0.135,0.115,0.234,0.123,-1.06,4.82,56.9,1.16e-07,7.46e-05,0.061,"gtl1-WT","RD29A",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6587","AT5G53250","Proximal Lateral Root Cap",347,259,484,428,0.835,0.87,0.941,0.904,0.849,0.919,0.601,8.57,20.6,0.000147,0.0188,1,"gtl1-WT","AGP22",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6588","AT5G54490","Proximal Lateral Root Cap",31.9,23.4,54.7,47.1,0.136,0.156,0.261,0.225,0.143,0.24,0.89,5.31,50,3.32e-07,0.000153,0.174,"gtl1-WT","PBP1",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6589","AT5G57625","Proximal Lateral Root Cap",24.5,28.2,45.3,36,0.139,0.227,0.303,0.23,0.173,0.26,0.616,5.08,20.3,0.00016,0.0195,1,"gtl1-WT","AT5G57625",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6590","AT5G61820","Proximal Lateral Root Cap",555,654,404,388,0.843,0.894,0.805,0.759,0.863,0.778,-0.606,8.97,19.8,0.000182,0.0213,1,"gtl1-WT","AT5G61820",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6591","AT5G62070","Proximal Lateral Root Cap",24.2,28.9,12,18.7,0.138,0.244,0.094,0.122,0.179,0.111,-0.809,4.39,33.5,6.8e-06,0.0018,1,"gtl1-WT","IQD23",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6592","AT5G62480","Proximal Lateral Root Cap",59.9,40.7,91.4,63.2,0.193,0.188,0.261,0.209,0.191,0.231,0.62,6,25.4,4.17e-05,0.00724,1,"gtl1-WT","GSTU9",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6593","AT5G64230","Proximal Lateral Root Cap",66.5,82.9,45.5,49.8,0.291,0.439,0.256,0.246,0.349,0.25,-0.643,5.94,26.8,3.02e-05,0.00575,1,"gtl1-WT","AT5G64230",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6594","AT5G66580","Proximal Lateral Root Cap",47.9,41.5,59.2,80.1,0.232,0.289,0.329,0.347,0.254,0.34,0.629,5.85,20,0.000176,0.0207,1,"gtl1-WT","AT5G66580",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6595","AT5G66780","Proximal Lateral Root Cap",42.6,78.7,21.3,23.2,0.156,0.25,0.0952,0.0917,0.192,0.0931,-1.4,5.37,87.2,2.73e-09,3.21e-06,0.00144,"gtl1-WT","AT5G66780",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6596","AT5G67400","Proximal Lateral Root Cap",12.7,10.3,21.5,17.6,0.0763,0.0976,0.157,0.125,0.0845,0.139,0.759,3.98,28.9,1.86e-05,0.00378,1,"gtl1-WT","PER73",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6597","AT3G01190","Proximal Lateral Root Cap",65,44.1,97.6,87.1,0.309,0.32,0.495,0.435,0.314,0.46,0.783,6.2,36.2,3.9e-06,0.00121,1,"gtl1-WT","PER27",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6598","AT3G02480","Proximal Lateral Root Cap",347,377,181,197,0.539,0.626,0.404,0.432,0.572,0.421,-0.936,8.11,53.7,1.86e-07,9.78e-05,0.0977,"gtl1-WT","AT3G02480",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6599","AT3G03341","Proximal Lateral Root Cap",35.9,36.5,20.4,23,0.143,0.203,0.118,0.115,0.166,0.116,-0.738,4.86,34,6.08e-06,0.00165,1,"gtl1-WT","AT3G03341",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6600","AT3G03450","Proximal Lateral Root Cap",14.2,14.4,21,24.1,0.0827,0.113,0.132,0.137,0.0943,0.135,0.652,4.22,22.2,9.45e-05,0.0133,1,"gtl1-WT","RGL2","RGL2","RGA-like 2","Up","Proximal Lateral Root Cap_Up"
"6601","AT3G08030","Proximal Lateral Root Cap",196,222,144,133,0.595,0.715,0.577,0.52,0.641,0.544,-0.591,7.44,21.2,0.000123,0.0165,1,"gtl1-WT","AT3G08030",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6602","AT3G09390","Proximal Lateral Root Cap",63.4,104,42.7,52.8,0.227,0.354,0.19,0.214,0.276,0.204,-0.781,6.04,35.7,4.28e-06,0.00131,1,"gtl1-WT","MT2A",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6603","AT3G11600","Proximal Lateral Root Cap",8.13,7.91,19.8,13.1,0.0477,0.074,0.132,0.086,0.0579,0.105,1.01,3.64,39,2.28e-06,0.000765,1,"gtl1-WT","AT3G11600",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6604","AT3G13610","Proximal Lateral Root Cap",11.8,7.17,15.5,13.6,0.071,0.0622,0.117,0.0925,0.0676,0.103,0.648,3.61,16.5,0.000487,0.0409,1,"gtl1-WT","F6'H1",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6605","AT3G14362","Proximal Lateral Root Cap",13.3,10.6,24.5,25.2,0.0689,0.0925,0.142,0.134,0.078,0.137,1.07,4.23,54.8,1.58e-07,8.96e-05,0.0827,"gtl1-WT","DVL19",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6606","AT3G14660","Proximal Lateral Root Cap",23.9,16.7,11.6,13.4,0.125,0.129,0.0897,0.0839,0.126,0.0863,-0.676,4.04,18.2,0.00029,0.0292,1,"gtl1-WT","CYP72A13",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6607","AT3G15356","Proximal Lateral Root Cap",18.4,15.7,26,31.5,0.0927,0.105,0.155,0.16,0.0975,0.158,0.752,4.54,28.1,2.23e-05,0.00442,1,"gtl1-WT","LEC",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6608","AT3G15670","Proximal Lateral Root Cap",35.7,27.8,19.1,22.5,0.169,0.214,0.126,0.118,0.186,0.121,-0.6,4.72,17.8,0.000326,0.031,1,"gtl1-WT","LEA29",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6609","AT3G16390","Proximal Lateral Root Cap",31,21.5,58.1,41.6,0.187,0.202,0.375,0.275,0.193,0.317,0.93,5.26,56,1.31e-07,7.73e-05,0.069,"gtl1-WT","NSP3",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6610","AT3G22060","Proximal Lateral Root Cap",18.3,24.2,42.4,32.7,0.0933,0.14,0.187,0.142,0.111,0.16,0.816,4.89,29.3,1.67e-05,0.00346,1,"gtl1-WT","CRRSP38",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6611","AT3G23080","Proximal Lateral Root Cap",11.3,13.6,19.6,24.4,0.0678,0.121,0.141,0.154,0.0884,0.149,0.824,4.13,35,4.97e-06,0.00142,1,"gtl1-WT","AT3G23080",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6612","AT3G23175","Proximal Lateral Root Cap",12.3,8.5,18.7,14.6,0.0684,0.0849,0.145,0.104,0.0748,0.121,0.693,3.78,22.5,8.92e-05,0.0128,1,"gtl1-WT","AT3G23175",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6613","AT3G23190","Proximal Lateral Root Cap",9.77,8.72,15.4,15.8,0.0594,0.0816,0.12,0.112,0.0679,0.115,0.758,3.66,25.6,4.05e-05,0.00709,1,"gtl1-WT","AT3G23190",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6614","AT3G25930","Proximal Lateral Root Cap",41.4,21.7,47.6,46.3,0.215,0.192,0.316,0.274,0.206,0.291,0.634,5.3,16.8,0.000446,0.0392,1,"gtl1-WT","AT3G25930",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6615","AT3G28910","Proximal Lateral Root Cap",36.7,55.7,30.5,23.2,0.139,0.191,0.14,0.112,0.159,0.124,-0.775,5.19,22.7,8.34e-05,0.0127,1,"gtl1-WT","MYB30","MYB30","myb domain protein 30","Down","Proximal Lateral Root Cap_Down"
"6616","AT3G29035","Proximal Lateral Root Cap",65.7,73.4,43.9,38.7,0.312,0.406,0.284,0.233,0.348,0.254,-0.752,5.79,34.4,5.56e-06,0.00153,1,"gtl1-WT","NAC59","NAC3","NAC domain containing protein 3","Down","Proximal Lateral Root Cap_Down"
"6617","AT3G05945","Proximal Lateral Root Cap",17.6,17.4,0.752,0.854,0.106,0.171,0.00671,0.00692,0.131,0.00683,-4.42,3.15,411,3.54e-16,2.5e-12,1.86e-10,"gtl1-WT","AT3G05945",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6618","AT3G29780","Proximal Lateral Root Cap",7.82,7.1,16.1,15.7,0.0509,0.0698,0.128,0.119,0.0582,0.122,1.09,3.58,50.9,2.89e-07,0.000139,0.151,"gtl1-WT","RALFL27",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6619","AT3G44300","Proximal Lateral Root Cap",20.2,10.6,23.8,25.6,0.128,0.108,0.172,0.173,0.12,0.173,0.739,4.34,17.9,0.000313,0.0305,1,"gtl1-WT","NIT2",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6620","AT3G46280","Proximal Lateral Root Cap",56,46.3,87.9,70.5,0.212,0.239,0.31,0.269,0.222,0.286,0.628,6.03,26.1,3.55e-05,0.00642,1,"gtl1-WT","AT3G46280",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6621","AT3G47340","Proximal Lateral Root Cap",98.3,72.6,159,163,0.248,0.26,0.422,0.408,0.253,0.414,0.927,6.95,47.6,4.92e-07,0.000204,0.258,"gtl1-WT","ASN1",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6622","AT3G55646","Proximal Lateral Root Cap",23.1,19,12.6,13.5,0.0991,0.114,0.0811,0.0636,0.105,0.0709,-0.68,4.09,22.4,9e-05,0.0129,1,"gtl1-WT","AT3G55646",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6623","AT3G59480","Proximal Lateral Root Cap",206,296,499,426,0.495,0.657,0.735,0.678,0.558,0.702,0.901,8.48,34.6,5.4e-06,0.00152,1,"gtl1-WT","AT3G59480",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6624","AT2G13960","Proximal Lateral Root Cap",42.5,44.1,27.4,28.8,0.221,0.33,0.182,0.176,0.263,0.179,-0.625,5.16,25.8,3.82e-05,0.00683,1,"gtl1-WT","AT2G13960","AT2G13960","Homeodomain-like superfamily protein","Down","Proximal Lateral Root Cap_Down"
"6625","AT2G17070","Proximal Lateral Root Cap",37.3,28.8,46.1,62.6,0.144,0.156,0.191,0.233,0.149,0.216,0.715,5.46,22.6,8.49e-05,0.0128,1,"gtl1-WT","AT2G17070",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6626","AT2G26370","Proximal Lateral Root Cap",9.93,10.7,22.6,19.7,0.0572,0.0942,0.138,0.114,0.0715,0.124,1.03,4,49.6,3.53e-07,0.000159,0.185,"gtl1-WT","AT2G26370",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6627","AT2G33790","Proximal Lateral Root Cap",297,367,182,194,0.343,0.396,0.267,0.27,0.363,0.268,-0.814,8.02,39.8,1.96e-06,0.000692,1,"gtl1-WT","AGP30",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6628","AT2G33830","Proximal Lateral Root Cap",17.4,16.8,31.7,28.8,0.0541,0.0706,0.136,0.137,0.0605,0.136,0.82,4.58,39,2.26e-06,0.000765,1,"gtl1-WT","DRMH1",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6629","AT2G34140","Proximal Lateral Root Cap",20,20.1,29.9,31.4,0.102,0.157,0.18,0.169,0.123,0.174,0.61,4.68,22.5,8.86e-05,0.0128,1,"gtl1-WT","CDF4","AT2G34140","Dof-type zinc finger DNA-binding family protein","Up","Proximal Lateral Root Cap_Up"
"6630","AT2G37180","Proximal Lateral Root Cap",33.8,20.8,13.5,18.4,0.135,0.125,0.0879,0.0908,0.131,0.0896,-0.748,4.43,17.2,0.000384,0.0351,1,"gtl1-WT","PIP2-3",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6631","AT2G39530","Proximal Lateral Root Cap",55.8,52.3,111,75.9,0.167,0.188,0.342,0.252,0.175,0.289,0.769,6.21,33.7,6.51e-06,0.00175,1,"gtl1-WT","AT2G39530",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6632","AT2G41660","Proximal Lateral Root Cap",264,267,169,175,0.745,0.848,0.683,0.66,0.785,0.67,-0.624,7.77,24.7,5.05e-05,0.00816,1,"gtl1-WT","MIZ1",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6633","AT2G43000","Proximal Lateral Root Cap",14.1,14.4,24.4,19.8,0.0631,0.0732,0.111,0.0934,0.067,0.101,0.62,4.2,19.3,0.000213,0.0234,1,"gtl1-WT","JUB1","NAC042","NAC domain containing protein 42","Up","Proximal Lateral Root Cap_Up"
"6634","AT2G45180","Proximal Lateral Root Cap",19,10.1,29.9,29.3,0.11,0.0925,0.181,0.147,0.103,0.161,1.08,4.49,43.6,9.79e-07,0.000377,0.512,"gtl1-WT","AT2G45180",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6635","AT2G47540","Proximal Lateral Root Cap",16.3,11.3,28.5,23.1,0.0922,0.113,0.191,0.156,0.1,0.171,0.913,4.33,43.3,1.02e-06,0.000386,0.534,"gtl1-WT","AT2G47540",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6636","AT4G01630","Proximal Lateral Root Cap",93.2,107,67.2,52.2,0.284,0.348,0.253,0.205,0.309,0.225,-0.754,6.32,30.5,1.29e-05,0.00291,1,"gtl1-WT","EXPA17",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6637","AT4G02270","Proximal Lateral Root Cap",37.5,40.4,87.4,67.2,0.216,0.327,0.5,0.393,0.259,0.437,0.975,5.87,52.6,2.19e-07,0.000108,0.115,"gtl1-WT","RHS13",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6638","AT4G04745","Proximal Lateral Root Cap",110,131,62.4,50.5,0.331,0.406,0.227,0.196,0.36,0.209,-1.1,6.47,63.5,4.59e-08,3.36e-05,0.0241,"gtl1-WT","AT4G04745",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6639","AT4G17340","Proximal Lateral Root Cap",76.7,71,33.7,37.6,0.281,0.316,0.189,0.194,0.295,0.192,-1.05,5.77,68.5,2.38e-08,2.1e-05,0.0125,"gtl1-WT","TIP2-2",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6640","AT4G20170","Proximal Lateral Root Cap",19.3,21.8,12.8,14.2,0.113,0.193,0.101,0.101,0.144,0.101,-0.601,4.1,19,0.000228,0.0246,1,"gtl1-WT","GALS3",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6641","AT4G22212","Proximal Lateral Root Cap",33.8,21.1,67.7,69.7,0.128,0.103,0.227,0.212,0.119,0.218,1.35,5.6,84.7,3.54e-09,3.75e-06,0.00186,"gtl1-WT","AT4G22212",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6642","AT4G22214","Proximal Lateral Root Cap",37.2,24.6,54.1,50.8,0.185,0.207,0.328,0.29,0.194,0.305,0.788,5.39,34.4,5.56e-06,0.00153,1,"gtl1-WT","AT4G22214",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6643","AT4G22217","Proximal Lateral Root Cap",28,20.9,46,30.5,0.163,0.205,0.318,0.207,0.179,0.253,0.631,4.98,24.9,4.74e-05,0.00784,1,"gtl1-WT","AT4G22217",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6644","AT4G22666","Proximal Lateral Root Cap",67.1,45.2,106,75.3,0.309,0.352,0.521,0.41,0.325,0.456,0.697,6.2,31.9,9.46e-06,0.00222,1,"gtl1-WT","AT4G22666",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6645","AT4G27410","Proximal Lateral Root Cap",120,66.1,52.7,52.3,0.502,0.469,0.358,0.315,0.489,0.333,-0.765,6.18,25,4.65e-05,0.00775,1,"gtl1-WT","RD26","RD26","NAC (No Apical Meristem) domain transcriptional regulator superfamily protein","Down","Proximal Lateral Root Cap_Down"
"6646","AT4G30170","Proximal Lateral Root Cap",118,81.4,158,149,0.438,0.458,0.575,0.527,0.446,0.547,0.65,6.99,23.9,6.1e-05,0.00957,1,"gtl1-WT","PER45",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6647","AT4G34210","Proximal Lateral Root Cap",56.4,66.4,32.9,34.7,0.209,0.271,0.149,0.145,0.233,0.147,-0.86,5.57,48.1,4.51e-07,0.000191,0.236,"gtl1-WT","ASK11",NA,NA,"Down","Proximal Lateral Root Cap_Down"
"6648","AT4G37450","Proximal Lateral Root Cap",28.5,26.8,34.7,50.8,0.105,0.124,0.124,0.147,0.112,0.137,0.611,5.15,18.7,0.00025,0.0261,1,"gtl1-WT","AGP18",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6649","ATCG00450","Proximal Lateral Root Cap",0,0,0,45.9,0,0,0,0.278,0,0.163,11.5,3.64,485,1.76e-16,1.87e-12,9.29e-11,"gtl1-WT","TRNV.1",NA,NA,"Up","Proximal Lateral Root Cap_Up"
"6650","AT1G01140","Transition Domain_Atrichoblast",10.8,16.7,7.74,7.48,0.164,0.25,0.111,0.107,0.197,0.109,-0.806,3.49,11,0.000935,0.0323,1,"gtl1-WT","CIPK9",NA,NA,"Down","Transition Domain_Atrichoblast_Down"
"6651","AT1G01380","Transition Domain_Atrichoblast",19.3,23.9,10.6,14.7,0.257,0.299,0.111,0.124,0.273,0.117,-0.783,4.14,14.2,0.000161,0.00809,1,"gtl1-WT","ETC1","ETC1","Homeodomain-like superfamily protein","Down","Transition Domain_Atrichoblast_Down"
"6652","AT1G01430","Transition Domain_Atrichoblast",46.4,58.6,74.1,86.8,0.49,0.668,0.542,0.594,0.557,0.565,0.622,6.05,17.5,2.9e-05,0.002,1,"gtl1-WT","TBL25",NA,NA,"Up","Transition Domain_Atrichoblast_Up"
"6653","AT1G01470","Transition Domain_Atrichoblast",247,411,185,100,0.724,0.75,0.572,0.44,0.734,0.514,-1.2,7.89,99,2.94e-23,5.8e-20,1.55e-17,"gtl1-WT","LEA14",NA,NA,"Down","Transition Domain_Atrichoblast_Down"
"6654","AT1G02220","Transition Domain_Atrichoblast",4.84,3.22,8.7,11.4,0.0724,0.0598,0.118,0.132,0.0676,0.124,1.27,2.83,18.9,1.41e-05,0.00108,1,"gtl1-WT","NAC003","NAC003","NAC domain containing protein 3","Up","Transition Domain_Atrichoblast_Up"
"6655","AT1G02360","Transition Domain_Atrichoblast",22.2,35.6,42.4,46,0.276,0.424,0.364,0.389,0.332,0.375,0.65,5.19,14.6,0.000133,0.00691,1,"gtl1-WT","AT1G02360",NA,NA,"Up","Transition Domain_Atrichoblast_Up"
"6656","AT1G02400","Transition Domain_Atrichoblast",3.84,3.22,10.4,6.93,0.0592,0.0707,0.114,0.0983,0.0635,0.107,1.3,2.68,17.6,2.68e-05,0.00187,1,"gtl1-WT","GA2OX6",NA,NA,"Up","Transition Domain_Atrichoblast_Up"
"6657","AT1G02520","Transition Domain_Atrichoblast",50.9,62.6,95.5,107,0.51,0.647,0.582,0.615,0.561,0.597,0.842,6.3,34.2,5.13e-09,8.59e-07,0.00269,"gtl1-WT","ABCB11",NA,NA,"Up","Transition Domain_Atrichoblast_Up"
"6658","AT1G04180","Transition Domain_Atrichoblast",205,311,353,493,0.734,0.804,0.791,0.786,0.76,0.789,0.724,8.41,44.1,3.18e-11,9.66e-09,1.67e-05,"gtl1-WT","YUC9",NA,NA,"Up","Transition Domain_Atrichoblast_Up"
"6659","AT1G04280","Transition Domain_Atrichoblast",5.34,5.03,13.5,10.3,0.0888,0.12,0.182,0.15,0.1,0.168,1.2,3.14,20.3,6.69e-06,0.00055,1,"gtl1-WT","AT1G04280",NA,NA,"Up","Transition Domain_Atrichoblast_Up"
"6660","AT1G04610","Transition Domain_Atrichoblast",21.5,43.7,54.5,64,0.22,0.321,0.327,0.256,0.258,0.296,0.934,5.51,32.5,1.22e-08,1.86e-06,0.00639,"gtl1-WT","YUC3",NA,NA,"Up","Transition Domain_Atrichoblast_Up"
"6661","AT1G05260","Transition Domain_Atrichoblast",34.9,12.5,48.4,33,0.178,0.158,0.178,0.192,0.17,0.185,0.849,5.03,22.9,1.76e-06,0.000172,0.922,"gtl1-WT","PER3",NA,NA,"Up","Transition Domain_Atrichoblast_Up"
"6662","AT1G05300","Transition Domain_Atrichoblast",26.7,34.4,20.1,17.2,0.329,0.457,0.242,0.188,0.377,0.218,-0.685,4.66,13.5,0.000245,0.0112,1,"gtl1-WT","ZIP5",NA,NA,"Down","Transition Domain_Atrichoblast_Down"
"6663","AT1G05340","Transition Domain_Atrichoblast",61.7,83.7,51.4,43.5,0.586,0.62,0.428,0.427,0.598,0.427,-0.59,5.93,14.9,0.000115,0.0062,1,"gtl1-WT","AT1G05340",NA,NA,"Down","Transition Domain_Atrichoblast_Down"
"6664","AT1G06090","Transition Domain_Atrichoblast",21.3,49.5,22,12.8,0.138,0.185,0.104,0.128,0.156,0.115,-0.884,4.76,22.1,2.67e-06,0.000251,1,"gtl1-WT","AT1G06090",NA,NA,"Down","Transition Domain_Atrichoblast_Down"
"6665","AT1G07150","Transition Domain_Atrichoblast",44.2,41.7,36.4,20.2,0.388,0.38,0.296,0.192,0.385,0.25,-0.615,5.19,12.8,0.000355,0.0152,1,"gtl1-WT","MAPKKK13",NA,NA,"Down","Transition Domain_Atrichoblast_Down"
"6666","AT1G07400","Transition Domain_Atrichoblast",55.7,14.5,34.6,4.16,0.26,0.141,0.175,0.0556,0.215,0.122,-0.969,4.85,24.5,7.38e-07,8.02e-05,0.387,"gtl1-WT","HSP17.8",NA,NA,"Down","Transition Domain_Atrichoblast_Down"
"6667","AT1G07790","Transition Domain_Atrichoblast",26.2,13.5,13.7,7.48,0.128,0.141,0.0943,0.0684,0.133,0.0829,-0.899,4.02,17,3.78e-05,0.00251,1,"gtl1-WT","HTB1",NA,NA,"Down","Transition Domain_Atrichoblast_Down"
"6668","AT1G09200","Transition Domain_Atrichoblast",106,63.4,67.9,36,0.385,0.391,0.31,0.286,0.387,0.299,-0.717,6.12,22.8,1.77e-06,0.000172,0.927,"gtl1-WT","HTR2",NA,NA,"Down","Transition Domain_Atrichoblast_Down"
"6669","AT1G09950","Transition Domain_Atrichoblast",198,137,117,72.9,0.592,0.582,0.458,0.346,0.588,0.409,-0.831,7.05,40.4,2.12e-10,5.45e-08,0.000112,"gtl1-WT","RAS1",NA,NA,"Down","Transition Domain_Atrichoblast_Down"
"6670","AT1G11185","Transition Domain_Atrichoblast",9.34,7.24,28.2,7.48,0.0822,0.0978,0.121,0.0897,0.0881,0.107,1.04,3.78,19.9,8.24e-06,0.000664,1,"gtl1-WT","AT1G11185",NA,NA,"Up","Transition Domain_Atrichoblast_Up"
"6671","AT1G11580","Transition Domain_Atrichoblast",8.17,3.22,13.2,7.48,0.118,0.0707,0.0943,0.094,0.1,0.0942,0.867,3.08,10.2,0.00144,0.0453,1,"gtl1-WT","ATPMEPCRA",NA,NA,"Up","Transition Domain_Atrichoblast_Up"
"6672","AT1G12080","Transition Domain_Atrichoblast",76.2,11.5,81.2,46,0.293,0.223,0.428,0.359,0.266,0.397,0.819,5.77,25.1,5.6e-07,6.22e-05,0.293,"gtl1-WT","AT1G12080",NA,NA,"Up","Transition Domain_Atrichoblast_Up"
"6673","AT1G12090","Transition Domain_Atrichoblast",98.7,54.3,126,107,0.569,0.576,0.525,0.5,0.572,0.514,0.648,6.6,21.9,2.83e-06,0.000264,1,"gtl1-WT","ELP",NA,NA,"Up","Transition Domain_Atrichoblast_Up"
"6674","AT1G12560","Transition Domain_Atrichoblast",4.84,4.63,9.67,13.6,0.0724,0.0978,0.128,0.128,0.082,0.128,1.26,3.04,21.2,4.22e-06,0.000374,1,"gtl1-WT","EXPA7",NA,NA,"Up","Transition Domain_Atrichoblast_Up"
"6675","AT1G13420","Transition Domain_Atrichoblast",32.7,14.1,35.2,33.3,0.286,0.255,0.35,0.286,0.275,0.322,0.591,4.87,10.8,0.00102,0.0344,1,"gtl1-WT","SOT8",NA,NA,"Up","Transition Domain_Atrichoblast_Up"
"6676","AT1G14210","Transition Domain_Atrichoblast",114,146,193,231,0.816,0.864,0.805,0.872,0.834,0.834,0.712,7.42,33.4,7.6e-09,1.22e-06,0.00399,"gtl1-WT","AT1G14210",NA,NA,"Up","Transition Domain_Atrichoblast_Up"
