"","gene","cluster_id","sc_2.cpm","sc_43.cpm","sc_50.cpm","sc_5.cpm","sc_46.cpm","sc_49.cpm","sc_2.frq","sc_43.frq","sc_50.frq","sc_5.frq","sc_46.frq","sc_49.frq","BRZ.frq","BL.frq","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","Name","TF_Name","Description","up_dn_label","clust_up_dn"
"1989","AT4G11190","all",106,88.9,155,41.3,33.3,44.2,0.125,0.108,0.141,0.0615,0.0492,0.0568,0.122,0.0565,-1.56,6.29,53.9,6.99e-05,0.0026,1,"BL-BRZ","DIR13",NA,NA,"Down","all_Down"
"1990","AT4G11290","all",289,261,286,575,518,452,0.142,0.0781,0.0877,0.213,0.112,0.117,0.103,0.158,0.882,8.63,63.1,3.94e-05,0.00183,0.912,"BL-BRZ","PER39",NA,NA,"Up","all_Up"
"1991","AT4G11340","all",4.63,2.09,1.05,28.3,33.1,67.1,0.0124,0.00507,0.00413,0.0672,0.0526,0.0603,0.0074,0.061,4.17,4.51,56.9,5.75e-05,0.00232,1,"BL-BRZ","AT4G11340",NA,NA,"Up","all_Up"
"1992","AT4G12110","all",17.4,20.6,20.8,35.2,33.3,29.2,0.131,0.149,0.151,0.202,0.242,0.219,0.143,0.219,0.733,4.71,39.3,0.000215,0.00512,1,"BL-BRZ","SMO1-1",NA,NA,"Up","all_Up"
"1993","AT4G12250","all",22.8,12.9,14.4,13,6.42,8.25,0.215,0.127,0.158,0.111,0.0835,0.0976,0.165,0.0993,-0.867,3.7,46.4,0.00012,0.00353,1,"BL-BRZ","GAE5",NA,NA,"Down","all_Down"
"1994","AT4G12270","all",1.62,1.89,1.82,1.23,1.1,0.983,0.0168,0.0196,0.0218,0.0111,0.0127,0.0115,0.0191,0.0117,-0.69,0.547,14.6,0.00481,0.0353,1,"BL-BRZ","AT4G12270",NA,NA,"Down","all_Down"
"1995","AT4G12290","all",4.84,2.75,2.14,2.73,1.58,0.83,0.0339,0.0234,0.0201,0.0217,0.0171,0.0103,0.0263,0.0174,-0.945,1.32,15.4,0.00413,0.032,1,"BL-BRZ","AT4G12290",NA,NA,"Down","all_Down"
"1996","AT4G12320","all",0.859,1.09,1,0.285,0.34,0.47,0.00972,0.0104,0.0116,0.00235,0.00467,0.00585,0.0104,0.00395,-1.45,-0.524,38.4,0.000232,0.00529,1,"BL-BRZ","CYP706A6",NA,NA,"Down","all_Down"
"1997","AT4G12420","all",160,140,130,348,254,301,0.527,0.457,0.447,0.688,0.661,0.665,0.479,0.674,1.07,7.8,94.6,8.64e-06,0.000777,0.202,"BL-BRZ","SKU5",NA,NA,"Up","all_Up"
"1998","AT4G12430","all",6.97,9.56,9.57,6.21,5.16,5.63,0.0418,0.0339,0.0387,0.0361,0.0242,0.022,0.0378,0.0289,-0.607,2.85,14.6,0.00481,0.0353,1,"BL-BRZ","TPPF",NA,NA,"Down","all_Down"
"1999","AT4G12530","all",2.54,2.49,3.53,0.963,0.893,1.29,0.0248,0.0195,0.0234,0.00817,0.011,0.0142,0.0223,0.0105,-1.44,0.975,45.9,0.000125,0.00361,1,"BL-BRZ","AT4G12530",NA,NA,"Down","all_Down"
"2000","AT4G12690","all",9.14,8.09,6.49,13,10.8,11.9,0.0913,0.0822,0.0835,0.109,0.126,0.137,0.0857,0.121,0.592,3.31,21.4,0.00158,0.0172,1,"BL-BRZ","AT4G12690",NA,NA,"Up","all_Up"
"2001","AT4G12730","all",215,171,160,349,313,343,0.525,0.53,0.562,0.678,0.751,0.733,0.536,0.715,0.889,8.01,64.2,3.71e-05,0.00177,0.86,"BL-BRZ","FLA2",NA,NA,"Up","all_Up"
"2002","AT4G13000","all",1.17,0.607,0.901,1.72,1.31,1.64,0.0138,0.00699,0.0124,0.0155,0.0178,0.0222,0.0107,0.0179,0.826,0.312,13.4,0.00615,0.0417,1,"BL-BRZ","AT4G13000",NA,NA,"Up","all_Up"
"2003","AT4G13210","all",5.31,2.46,3.1,2.84,1.07,1.89,0.0548,0.0254,0.0374,0.0236,0.0136,0.019,0.0385,0.0193,-0.909,1.48,16.8,0.00324,0.0273,1,"BL-BRZ","AT4G13210",NA,NA,"Down","all_Down"
"2004","AT4G13250","all",21.4,5.81,8.02,14.5,3.29,4.7,0.142,0.0403,0.0719,0.0913,0.0305,0.0392,0.0833,0.0594,-0.713,3.27,15.9,0.00382,0.0304,1,"BL-BRZ","NYC1",NA,NA,"Down","all_Down"
"2005","AT4G13370","all",4.91,5.74,5.01,7.79,8.08,7.61,0.0511,0.0539,0.0605,0.0666,0.0884,0.0825,0.0545,0.0773,0.585,2.71,22.5,0.00135,0.0156,1,"BL-BRZ","AT4G13370",NA,NA,"Up","all_Up"
"2006","AT4G13390","all",57.8,54,84.7,36.6,37.6,43.3,0.0797,0.0503,0.0541,0.0816,0.0374,0.0369,0.0615,0.0567,-0.739,5.71,20.3,0.00186,0.0191,1,"BL-BRZ","AT4G13390",NA,NA,"Down","all_Down"
"2007","AT4G13620","all",9.74,11.8,11.7,26.9,31.9,33,0.0727,0.0856,0.0987,0.132,0.191,0.197,0.0842,0.167,1.47,4.38,263,1.57e-07,0.000111,0.00372,"BL-BRZ","ERF062","AT4G13620","Integrase-type DNA-binding superfamily protein","Up","all_Up"
"2008","AT4G13690","all",2.38,2.39,2.14,3.19,4.05,4.15,0.0257,0.0239,0.0277,0.0283,0.044,0.0424,0.0254,0.0367,0.713,1.62,21.3,0.0016,0.0173,1,"BL-BRZ","AT4G13690",NA,NA,"Up","all_Up"
"2009","AT4G13710","all",5.12,9.62,9.15,14.7,21,16.8,0.0579,0.0843,0.0942,0.116,0.171,0.141,0.0774,0.139,1.18,3.67,64,3.75e-05,0.00179,0.87,"BL-BRZ","AT4G13710",NA,NA,"Up","all_Up"
"2010","AT4G14100","all",3.03,3.46,3.38,1.91,1.89,1.47,0.0335,0.037,0.0419,0.0186,0.0267,0.0204,0.0369,0.0215,-0.904,1.35,29.3,0.000578,0.00917,1,"BL-BRZ","AT4G14100",NA,NA,"Down","all_Down"
"2011","AT4G14096","all",1.38,1.71,1.43,2.27,2.48,2.96,0.016,0.0202,0.0206,0.0205,0.0336,0.0385,0.0188,0.0291,0.764,1.04,21.7,0.00151,0.0167,1,"BL-BRZ","AT4G14096",NA,NA,"Up","all_Up"
"2012","AT4G14380","all",11.3,11.2,12.9,22.7,26.3,30.3,0.0722,0.0837,0.101,0.115,0.173,0.196,0.0838,0.153,1.15,4.26,101,6.62e-06,0.000667,0.155,"BL-BRZ","AT4G14380",NA,NA,"Up","all_Up"
"2013","AT4G06195","all",1.73,1.98,2.41,3.07,4.66,6.63,0.0124,0.0161,0.0248,0.021,0.0447,0.0516,0.0169,0.036,1.19,1.78,35.5,0.000305,0.00616,1,"BL-BRZ","AT4G06195",NA,NA,"Up","all_Up"
"2014","AT4G14550","all",21.2,25,34.3,39.6,63,62.2,0.135,0.141,0.17,0.216,0.279,0.269,0.146,0.249,1.02,5.35,62.3,4.13e-05,0.00189,0.957,"BL-BRZ","IAA14","IAA14","indole-3-acetic acid inducible 14","Up","all_Up"
"2015","AT4G14640","all",13.4,12.8,17.7,27.8,34.3,36.4,0.101,0.0844,0.119,0.165,0.196,0.204,0.0982,0.185,1.16,4.57,77.5,1.84e-05,0.00117,0.429,"BL-BRZ","CML8",NA,NA,"Up","all_Up"
"2016","AT4G14650","all",12.1,20.6,24,25.4,30.3,38.1,0.0441,0.104,0.117,0.0688,0.141,0.152,0.0861,0.112,0.768,4.65,30.2,0.000526,0.00861,1,"BL-BRZ","AT4G14650",NA,NA,"Up","all_Up"
"2017","AT4G14680","all",28.2,28.5,26.3,47.5,47.1,59.4,0.13,0.144,0.144,0.156,0.216,0.2,0.139,0.185,0.888,5.3,57.6,5.5e-05,0.00224,1,"BL-BRZ","APS3",NA,NA,"Up","all_Up"
"2018","AT4G14740","all",4.18,7.66,7.11,8.55,10.4,10.9,0.0333,0.0551,0.057,0.0508,0.0716,0.0756,0.0479,0.0634,0.694,3.03,24.6,0.00103,0.013,1,"BL-BRZ","AT4G14740",NA,NA,"Up","all_Up"
"2019","AT4G14746","all",6.62,6.95,10.2,10.7,12.3,15.7,0.0563,0.0624,0.0788,0.0785,0.103,0.108,0.0642,0.0936,0.703,3.38,17.3,0.00297,0.0257,1,"BL-BRZ","AT4G14746",NA,NA,"Up","all_Up"
"2020","AT4G06280","all",1.43,0.659,0.427,2.63,1.67,1.41,0.0156,0.00778,0.00688,0.0225,0.0206,0.0192,0.0103,0.0211,1.27,0.481,29.3,0.000583,0.0092,1,"BL-BRZ","AT4G06280",NA,NA,"Up","all_Up"
"2021","AT4G14940","all",23.5,18.3,22.1,36.7,34,43.2,0.124,0.101,0.132,0.165,0.18,0.187,0.116,0.175,0.834,4.89,40,0.000201,0.00485,1,"BL-BRZ","AO1",NA,NA,"Up","all_Up"
"2022","AT4G14980","all",3.68,2.66,3.31,5.84,7.32,6.63,0.0375,0.0287,0.0379,0.0505,0.0761,0.0699,0.034,0.0633,1.04,2.3,37.9,0.000244,0.00541,1,"BL-BRZ","AT4G14980",NA,NA,"Up","all_Up"
"2023","AT4G15110","all",8.19,7.87,7.73,5.58,5.18,4.28,0.0835,0.0818,0.0944,0.0512,0.0656,0.0541,0.0854,0.0563,-0.664,2.7,26.2,0.000838,0.0116,1,"BL-BRZ","CYP97B3",NA,NA,"Down","all_Down"
"2024","AT4G15230","all",26.8,15.6,17.5,9.01,4.55,5.44,0.148,0.103,0.112,0.0646,0.0489,0.0509,0.121,0.0563,-1.68,3.72,193,5.43e-07,0.000189,0.0128,"BL-BRZ","ABCG30",NA,NA,"Down","all_Down"
"2025","AT4G15233","all",5.6,6.98,6.55,3.15,3.21,4.16,0.0524,0.0572,0.0592,0.0269,0.0337,0.0397,0.056,0.0322,-0.862,2.31,36.1,0.000288,0.00595,1,"BL-BRZ","ABCG42",NA,NA,"Down","all_Down"
"2026","AT4G15248","all",8.13,5.83,5.25,3.52,2.67,2.54,0.0722,0.0492,0.0529,0.027,0.0304,0.0259,0.0581,0.0277,-1.13,2.23,76.5,1.93e-05,0.00121,0.45,"BL-BRZ","MIP1A","BBX30","B-box type zinc finger family protein","Down","all_Down"
"2027","AT4G15300","all",10.4,9.85,17.4,31.7,44.5,65.1,0.0753,0.0575,0.0951,0.135,0.142,0.162,0.0726,0.144,1.88,4.9,65.3,3.48e-05,0.00171,0.807,"BL-BRZ","CYP702A2",NA,NA,"Up","all_Up"
"2028","AT4G15480","all",7.99,2.35,1.99,2,1.01,1.4,0.0514,0.0251,0.0267,0.0178,0.0149,0.0204,0.0347,0.0176,-1.26,1.49,22.9,0.00128,0.015,1,"BL-BRZ","UGT84A1",NA,NA,"Down","all_Down"
"2029","AT4G15610","all",367,201,314,173,85.9,108,0.568,0.335,0.461,0.435,0.227,0.238,0.447,0.321,-1.3,7.7,50.1,9.11e-05,0.00303,1,"BL-BRZ","AT4G15610",NA,NA,"Down","all_Down"
"2030","AT4G15630","all",9.72,8.11,9.33,5.7,4.65,3.58,0.0534,0.0432,0.0427,0.037,0.0301,0.0248,0.0466,0.0318,-0.976,2.78,41.5,0.000178,0.0045,1,"BL-BRZ","AT4G15630",NA,NA,"Down","all_Down"
"2031","AT4G15710","all",2.16,0.719,0.45,0.796,0.11,0.0873,0.016,0.00609,0.0055,0.00654,0.00161,0.00124,0.00941,0.00368,-2.03,-0.426,37.5,0.000253,0.00551,1,"BL-BRZ","AT4G15710",NA,NA,"Down","all_Down"
"2032","AT4G15910","all",212,354,331,101,163,104,0.456,0.415,0.36,0.299,0.312,0.247,0.416,0.29,-1.26,7.72,53.9,7e-05,0.0026,1,"BL-BRZ","ATDI21",NA,NA,"Down","all_Down"
"2033","AT4G15920","all",9.73,9.95,13.7,23,41.3,39.4,0.0843,0.0803,0.102,0.158,0.262,0.252,0.0869,0.213,1.6,4.51,102,6.56e-06,0.000667,0.154,"BL-BRZ","SWEET17",NA,NA,"Up","all_Up"
"2034","AT4G15990","all",1.98,1.03,0.393,5.89,1.44,1.95,0.012,0.00654,0.00472,0.0359,0.0123,0.0115,0.00801,0.0224,1.35,1.1,18.9,0.0023,0.0218,1,"BL-BRZ","AT4G15990",NA,NA,"Up","all_Up"
"2035","AT4G16120","all",12.7,14.5,11.6,22.7,20.3,20,0.125,0.124,0.123,0.165,0.197,0.189,0.124,0.181,0.695,4.09,35.3,0.000311,0.00622,1,"BL-BRZ","COBL7",NA,NA,"Up","all_Up"
"2036","AT4G16146","all",8.45,6.81,7.61,2.14,1.63,2,0.0781,0.0592,0.0776,0.0204,0.0203,0.0236,0.0702,0.0212,-1.99,2.26,192,5.44e-07,0.000189,0.0128,"BL-BRZ","AT4G16146",NA,NA,"Down","all_Down"
"2037","AT4G16190","all",303,218,257,167,159,127,0.496,0.348,0.357,0.453,0.314,0.29,0.402,0.369,-0.774,7.68,37.8,0.000246,0.00542,1,"BL-BRZ","RD19C",NA,NA,"Down","all_Down"
"2038","AT4G16370","all",8.46,8.35,7.06,4.36,2.42,2.52,0.0564,0.0566,0.0513,0.0313,0.0286,0.0254,0.0553,0.029,-1.41,2.47,65,3.54e-05,0.00173,0.822,"BL-BRZ","ATOPT3",NA,NA,"Down","all_Down"
"2039","AT4G16442","all",14.8,14.4,11.4,9.99,8.86,7.09,0.135,0.113,0.105,0.0823,0.0889,0.0757,0.119,0.0827,-0.652,3.47,21.8,0.00148,0.0164,1,"BL-BRZ","AT4G16442",NA,NA,"Down","all_Down"
"2040","AT4G16447","all",8.7,11,14.3,32,38.7,26.2,0.0465,0.0488,0.0576,0.0804,0.0989,0.0951,0.0501,0.0898,1.53,4.45,66.5,3.25e-05,0.00163,0.753,"BL-BRZ","AT4G16447",NA,NA,"Up","all_Up"
"2041","AT4G16620","all",0.494,0.47,0.785,0.187,0.331,0.306,0.00546,0.00485,0.0102,0.00194,0.00394,0.00408,0.00633,0.0031,-1.1,-1.17,13.3,0.00628,0.0423,1,"BL-BRZ","AT4G16620",NA,NA,"Down","all_Down"
"2042","AT4G16670","all",7.08,3.7,5.31,1.85,1.49,2.14,0.0791,0.0388,0.0657,0.0188,0.0207,0.0264,0.0592,0.0213,-1.52,1.85,45.2,0.000132,0.00372,1,"BL-BRZ","AT4G16670",NA,NA,"Down","all_Down"
"2043","AT4G16680","all",6.76,2.37,2.48,1.66,1.21,1.55,0.0674,0.0269,0.0328,0.0161,0.0155,0.0199,0.0425,0.0169,-1.23,1.43,22.4,0.00136,0.0156,1,"BL-BRZ","AT4G16680",NA,NA,"Down","all_Down"
"2044","AT4G16770","all",6.19,9.03,8.41,2.19,2.6,2.4,0.0606,0.0787,0.0776,0.0206,0.0294,0.0278,0.0721,0.0251,-1.7,2.37,155,1.29e-06,0.000312,0.0304,"BL-BRZ","AT4G16770",NA,NA,"Down","all_Down"
"2045","AT4G16780","all",27.1,44.8,37.9,19.4,20.6,24.4,0.194,0.243,0.222,0.0965,0.116,0.129,0.221,0.111,-0.748,4.86,34.4,0.00034,0.0066,1,"BL-BRZ","HAT4","HB-2","homeobox protein 2","Down","all_Down"
"2046","AT4G16970","all",2.67,3.78,3.12,4.6,5.6,4.99,0.0297,0.0388,0.0401,0.0409,0.0659,0.0543,0.0359,0.0519,0.673,2.05,22,0.00145,0.0162,1,"BL-BRZ","AT4G16970",NA,NA,"Up","all_Up"
"2047","AT4G17030","all",1.03,2.49,3.4,2.58,4.2,5.22,0.00546,0.0113,0.0118,0.0124,0.0218,0.0186,0.00936,0.0168,0.882,1.66,18.6,0.0024,0.0224,1,"BL-BRZ","EXLB1",NA,NA,"Up","all_Up"
"2048","AT4G17550","all",16.7,12.4,14.6,9.13,5.81,6.59,0.124,0.0936,0.12,0.0712,0.0605,0.0633,0.111,0.0659,-1.04,3.45,66.4,3.28e-05,0.00164,0.761,"BL-BRZ","AT4G17550",NA,NA,"Down","all_Down"
"2049","AT4G17670","all",36.3,31.6,47.8,49.7,85.7,77.1,0.171,0.128,0.153,0.196,0.292,0.264,0.149,0.243,0.844,5.77,21.7,0.00151,0.0166,1,"BL-BRZ","FLZ2",NA,NA,"Up","all_Up"
"2050","AT4G17720","all",57.7,53.9,58.9,34.9,42,35.8,0.378,0.276,0.321,0.245,0.268,0.251,0.323,0.254,-0.599,5.56,31.5,0.000459,0.00785,1,"BL-BRZ","AT4G17720",NA,NA,"Down","all_Down"
"2051","AT4G17840","all",20.9,13,18.2,15.5,9.89,8.76,0.201,0.111,0.167,0.132,0.103,0.0883,0.156,0.112,-0.636,3.85,18.1,0.00261,0.0237,1,"BL-BRZ","AT4G17840",NA,NA,"Down","all_Down"
"2052","AT4G17870","all",82.9,83.7,83.3,142,177,190,0.457,0.407,0.44,0.546,0.647,0.66,0.432,0.606,1.02,6.98,81.5,1.52e-05,0.00105,0.355,"BL-BRZ","PYR1",NA,NA,"Up","all_Up"
"2053","AT4G17905","all",2.6,4.17,4.07,5.66,5.26,6.78,0.0302,0.0419,0.0501,0.0484,0.0599,0.072,0.0398,0.0579,0.736,2.26,18.3,0.00253,0.0231,1,"BL-BRZ","ATL4H",NA,NA,"Up","all_Up"
"2054","AT4G17980","all",4.53,5.95,5.51,15.1,9.03,11.4,0.0282,0.0321,0.0289,0.0591,0.041,0.044,0.03,0.0497,1.13,3.1,32,0.000434,0.00763,1,"BL-BRZ","anac071","NAC071","NAC domain containing protein 71","Up","all_Up"
"2055","AT4G18260","all",6.07,6.72,8.89,9.86,12.5,12.6,0.0421,0.0527,0.0662,0.0561,0.0906,0.0844,0.0522,0.0738,0.69,3.24,26.6,0.000793,0.0113,1,"BL-BRZ","AT4G18260",NA,NA,"Up","all_Up"
"2056","AT4G18280","all",41.2,32.7,32.7,94,63.6,45.6,0.155,0.128,0.126,0.293,0.208,0.154,0.137,0.232,0.89,5.69,34.7,0.000328,0.00644,1,"BL-BRZ","AT4G18280",NA,NA,"Up","all_Up"
"2057","AT4G18340","all",18.4,12.1,17.5,39.5,23.9,33.8,0.0835,0.0687,0.109,0.123,0.117,0.141,0.0835,0.126,1.01,4.6,34,0.000353,0.00672,1,"BL-BRZ","AT4G18340",NA,NA,"Up","all_Up"
"2058","AT4G18360","all",10.3,7.08,8.48,5.61,4.63,3.65,0.0771,0.0529,0.0664,0.0463,0.0397,0.0351,0.0645,0.0414,-0.899,2.73,39.3,0.000215,0.00512,1,"BL-BRZ","GLO5",NA,NA,"Down","all_Down"
"2059","AT4G18422","all",2.12,0.821,0.704,1.08,0.248,0.306,0.0174,0.00721,0.00786,0.00827,0.00292,0.00337,0.0109,0.00539,-1.27,-0.148,31.8,0.000441,0.0077,1,"BL-BRZ","AT4G18422",NA,NA,"Down","all_Down"
"2060","AT4G18440","all",24.2,16.3,11.3,10.3,9.3,7.35,0.169,0.112,0.09,0.076,0.0816,0.064,0.126,0.0747,-0.9,3.72,24.7,0.00101,0.0129,1,"BL-BRZ","AT4G18440",NA,NA,"Down","all_Down"
"2061","AT4G18510","all",40.9,25.8,22.8,14.6,6.29,10.9,0.0954,0.116,0.118,0.045,0.0372,0.0521,0.109,0.0444,-1.49,4.34,63.8,3.78e-05,0.00179,0.876,"BL-BRZ","CLE2",NA,NA,"Down","all_Down"
"2062","AT4G18700","all",44.5,39.3,40.9,75.8,61.6,61.5,0.345,0.279,0.337,0.432,0.404,0.387,0.316,0.412,0.669,5.75,53.2,7.37e-05,0.00269,1,"BL-BRZ","CIPK12",NA,NA,"Up","all_Up"
"2063","AT4G18760","all",16,18.3,15.2,31.5,23.3,26.3,0.14,0.158,0.156,0.205,0.222,0.222,0.151,0.214,0.704,4.44,30.1,0.000532,0.0087,1,"BL-BRZ","RLP51",NA,NA,"Up","all_Up"
"2064","AT4G18800","all",12.9,14.8,16.3,18.9,27.9,22.5,0.112,0.122,0.138,0.125,0.199,0.179,0.122,0.162,0.649,4.24,31.5,0.000458,0.00785,1,"BL-BRZ","RABA1D",NA,NA,"Up","all_Up"
"2065","AT4G19120","all",133,122,111,271,188,180,0.473,0.393,0.395,0.641,0.582,0.539,0.422,0.597,0.782,7.39,46,0.000124,0.0036,1,"BL-BRZ","ERD3",NA,NA,"Up","all_Up"
"2066","AT4G19230","all",163,99.8,93.1,101,50.7,53.4,0.537,0.288,0.32,0.372,0.218,0.209,0.383,0.283,-0.823,6.55,66.9,3.18e-05,0.00162,0.74,"BL-BRZ","CYP707A1",NA,NA,"Down","all_Down"
"2067","AT4G19420","all",8.78,5.68,8.66,17.2,14.4,15.7,0.0664,0.05,0.0745,0.122,0.121,0.12,0.0616,0.121,1.04,3.56,41.2,0.000182,0.00455,1,"BL-BRZ","AT4G19420",NA,NA,"Up","all_Up"
"2068","AT4G19520","all",1.72,1.78,1.55,16.9,20.6,25.2,0.018,0.0169,0.0185,0.0805,0.079,0.0896,0.0177,0.0823,3.62,3.5,494,1.24e-08,5.9e-05,0.000295,"BL-BRZ","AT4G19520",NA,NA,"Up","all_Up"
"2069","AT4G19560","all",0.721,1.05,0.566,0.413,0.359,0.371,0.00892,0.0126,0.00924,0.00429,0.00555,0.00514,0.0105,0.00489,-1.04,-0.725,12.6,0.00724,0.0466,1,"BL-BRZ","CYCT1-2",NA,NA,"Down","all_Down"
"2070","AT4G19980","all",0.454,0.804,0.566,0.885,2.23,2,0.00479,0.0071,0.00688,0.00725,0.0209,0.0144,0.00624,0.0132,1.41,0.235,36.8,0.000269,0.00573,1,"BL-BRZ","AT4G19980",NA,NA,"Up","all_Up"
"2071","AT4G20070","all",6.07,11.1,11.9,4.34,3.61,3.91,0.0543,0.0761,0.0892,0.0369,0.0412,0.0397,0.0716,0.0389,-1.24,2.77,30.5,0.000507,0.0084,1,"BL-BRZ","AAH",NA,NA,"Down","all_Down"
"2072","AT4G20210","all",12.6,8.84,6.74,31.2,28.1,29,0.0474,0.0425,0.0383,0.0707,0.0952,0.1,0.0432,0.0857,1.68,4.28,119,3.6e-06,0.000505,0.0847,"BL-BRZ","TPS08",NA,NA,"Up","all_Up"
"2073","AT4G20230","all",0.504,0.505,0.543,1.73,2.45,2.3,0.00506,0.00518,0.00649,0.0134,0.0251,0.0211,0.00545,0.0189,2.05,0.442,118,3.73e-06,0.000505,0.0877,"BL-BRZ","AT4G20230",NA,NA,"Up","all_Up"
"2074","AT4G20240","all",2.17,1.63,2.55,0.806,0.791,1.05,0.00919,0.00811,0.0122,0.00378,0.00584,0.00639,0.00945,0.00507,-1.26,0.598,30.1,0.000533,0.00871,1,"BL-BRZ","CYP71A27",NA,NA,"Down","all_Down"
"2075","AT4G20320","all",7.86,13.7,14.1,23.4,26,22,0.0551,0.0689,0.0751,0.124,0.139,0.11,0.0655,0.125,1.05,4.16,39.3,0.000214,0.0051,1,"BL-BRZ","AT4G20320",NA,NA,"Up","all_Up"
"2076","AT4G20430","all",1.74,2.53,2.1,3.33,5.07,6.65,0.0177,0.0223,0.0222,0.0268,0.0517,0.0553,0.0207,0.0417,1.21,1.84,47.2,0.000113,0.00339,1,"BL-BRZ","SBT2.2",NA,NA,"Up","all_Up"
"2077","AT4G20450","all",2.13,1.75,1.85,4.15,3.59,5.55,0.0176,0.0156,0.0189,0.0247,0.0223,0.0286,0.017,0.025,1.22,1.67,37.7,0.000249,0.00546,1,"BL-BRZ","AT4G20450",NA,NA,"Up","all_Up"
"2078","AT4G20780","all",23.4,13.9,16.5,40.2,22,33.4,0.17,0.102,0.131,0.25,0.152,0.174,0.132,0.201,0.837,4.64,27.8,0.000686,0.0103,1,"BL-BRZ","CML42",NA,NA,"Up","all_Up"
"2079","AT4G21310","all",4.7,4.67,5.72,10.1,13.2,17.8,0.0134,0.0181,0.0224,0.0205,0.0351,0.0369,0.0175,0.0291,1.42,3.23,68.8,2.86e-05,0.00155,0.665,"BL-BRZ","AT4G21310",NA,NA,"Up","all_Up"
"2080","AT4G21390","all",7.44,6.09,6.11,15.2,9.91,14.8,0.0481,0.0441,0.0462,0.0739,0.0635,0.0793,0.046,0.0721,1.02,3.31,41.6,0.000176,0.00449,1,"BL-BRZ","B120",NA,NA,"Up","all_Up"
"2081","AT4G21400","all",2.72,2.45,2.46,5.62,3.63,4.24,0.0292,0.0237,0.0303,0.0484,0.0444,0.0497,0.0272,0.0475,0.804,1.82,28.6,0.000629,0.00967,1,"BL-BRZ","CRK28",NA,NA,"Up","all_Up"
"2082","AT4G21410","all",18.4,15.9,16.2,32.3,27.7,34.4,0.121,0.125,0.139,0.188,0.227,0.255,0.127,0.217,0.906,4.59,66.9,3.18e-05,0.00162,0.739,"BL-BRZ","CRK29",NA,NA,"Up","all_Up"
"2083","AT4G21440","all",9.71,4,6.92,6.06,1.17,2.03,0.0378,0.0192,0.0222,0.0227,0.00657,0.00709,0.0264,0.0138,-1.39,2.32,19,0.00226,0.0217,1,"BL-BRZ","ATMYB102","MYB102","MYB-like 102","Down","all_Down"
"2084","AT4G21680","all",2.47,4.23,2.16,9.94,6.49,6.96,0.014,0.0248,0.0165,0.04,0.034,0.0369,0.019,0.0374,1.38,2.43,24.4,0.00105,0.0132,1,"BL-BRZ","NPF7.2",NA,NA,"Up","all_Up"
"2085","AT4G21740","all",11.2,12.7,15.3,17.3,22.4,22.9,0.106,0.115,0.143,0.13,0.198,0.203,0.119,0.169,0.672,4.09,39.2,0.000216,0.00513,1,"BL-BRZ","AT4G21740",NA,NA,"Up","all_Up"
"2086","AT4G21745","all",0.553,0.513,1.04,1.34,2.02,2.26,0.00679,0.00609,0.0126,0.0113,0.0209,0.0208,0.00787,0.0167,1.41,0.38,27.8,0.000687,0.0103,1,"BL-BRZ","RIC11",NA,NA,"Up","all_Up"
"2087","AT4G21840","all",43.8,68.8,98.8,58.4,180,153,0.216,0.157,0.18,0.253,0.265,0.217,0.183,0.248,0.8,6.65,20.6,0.00178,0.0186,1,"BL-BRZ","MSRB8",NA,NA,"Up","all_Up"
"2088","AT4G21850","all",881,1780,2300,1860,3940,3470,0.866,0.708,0.65,0.97,0.898,0.821,0.749,0.91,0.933,11.2,46.1,0.000123,0.00357,1,"BL-BRZ","MSRB9",NA,NA,"Up","all_Up"
"2089","AT4G21865","all",5.66,7.57,6.55,10.2,11.5,11.8,0.0608,0.0698,0.0721,0.0838,0.108,0.107,0.0672,0.0971,0.763,3.15,42,0.00017,0.00438,1,"BL-BRZ","AT4G21865",NA,NA,"Up","all_Up"
"2090","AT4G21870","all",0.415,1.09,0.82,3.91,10.5,8.92,0.00479,0.0113,0.00983,0.0319,0.0834,0.0779,0.00866,0.0593,3.31,2.1,373,3.87e-08,7.85e-05,0.000917,"BL-BRZ","HSP15.4",NA,NA,"Up","all_Up"
"2091","AT4G21902","all",6.33,7.42,9.11,13.8,19.4,18.5,0.0562,0.0619,0.082,0.0961,0.143,0.133,0.0646,0.12,1.18,3.64,98.9,7.29e-06,0.000714,0.171,"BL-BRZ","AT4G21902",NA,NA,"Up","all_Up"
"2092","AT4G21920","all",1.02,0.539,1.17,2.78,1.93,2.4,0.00879,0.00541,0.01,0.0189,0.0164,0.019,0.00768,0.0181,1.39,0.727,25.6,0.000901,0.012,1,"BL-BRZ","AT4G21920",NA,NA,"Up","all_Up"
"2093","AT4G22010","all",180,227,193,333,303,295,0.454,0.396,0.36,0.592,0.514,0.463,0.408,0.536,0.636,8,26.6,0.000792,0.0113,1,"BL-BRZ","sks4",NA,NA,"Up","all_Up"
"2094","AT4G22080","all",20.6,16,25.1,12.5,9.06,11.3,0.0517,0.0368,0.0429,0.0404,0.0263,0.0241,0.0434,0.032,-0.915,3.98,25.7,0.000884,0.0119,1,"BL-BRZ","RHS14",NA,NA,"Down","all_Down"
