"","gene","cluster_id","sc_122.cpm","sc_126.cpm","sc_124.cpm","sc_128.cpm","sc_122.frq","sc_126.frq","sc_124.frq","sc_128.frq","WT.frq","df1.frq","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","Name","TF_Name","Description","up_dn_label","clust_up_dn"
"3417","AT3G07480","Proliferation Domain_Trichoblast",674,543,406,337,0.917,0.941,0.855,0.967,0.921,0.889,-0.712,8.96,23.8,1.07e-06,0.000145,0.562,"df1-WT","AT3G07480",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3418","AT3G07560","Proliferation Domain_Trichoblast",19,15.7,42.7,32.2,0.298,0.294,0.362,0.333,0.297,0.354,1.11,4.8,10.4,0.00129,0.0411,1,"df1-WT","PEX13",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3419","AT3G07770","Proliferation Domain_Trichoblast",11.6,9.68,33.5,36.8,0.167,0.412,0.29,0.3,0.208,0.293,1.67,4.49,19.7,9.02e-06,0.000807,1,"df1-WT","HSP90-6",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3420","AT3G08890","Proliferation Domain_Trichoblast",91.8,83.5,48.5,47.5,0.607,0.588,0.304,0.5,0.604,0.364,-0.871,6.18,10.9,0.000982,0.034,1,"df1-WT","AT3G08890",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3421","AT3G09630","Proliferation Domain_Trichoblast",413,410,650,739,0.917,0.941,0.812,0.967,0.921,0.859,0.749,9.11,28.3,1.03e-07,1.91e-05,0.054,"df1-WT","RPL4A",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3422","AT3G10020","Proliferation Domain_Trichoblast",63.3,103,11.6,16.9,0.321,0.353,0.13,0.167,0.327,0.141,-2.52,5.73,55.8,8.22e-14,7.11e-11,4.3e-08,"df1-WT","AT3G10020",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3423","AT3G10050","Proliferation Domain_Trichoblast",2.11,1.21,6.93,21.5,0.0476,0.0588,0.0725,0.2,0.0495,0.111,2.61,3,13.2,0.000275,0.0131,1,"df1-WT","OMR1",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3424","AT3G10525","Proliferation Domain_Trichoblast",82.3,92,52,41.4,0.56,0.765,0.377,0.533,0.594,0.424,-0.874,6.15,10.9,0.000988,0.0341,1,"df1-WT","SMR1",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3425","AT3G10630","Proliferation Domain_Trichoblast",3.69,14.5,23.1,21.5,0.0833,0.412,0.261,0.267,0.139,0.263,1.57,3.92,13.1,0.000303,0.0141,1,"df1-WT","AT3G10630",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3426","AT3G11660","Proliferation Domain_Trichoblast",29.5,24.2,4.62,1.53,0.19,0.235,0.0435,0.0333,0.198,0.0404,-3.01,4.31,31.8,1.7e-08,3.77e-06,0.00892,"df1-WT","NHL1",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3427","AT3G11930","Proliferation Domain_Trichoblast",31.1,13.3,4.62,3.07,0.107,0.294,0.029,0.0667,0.139,0.0404,-2.53,4.21,22.8,1.86e-06,0.000217,0.971,"df1-WT","AT3G11930",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3428","AT3G11964","Proliferation Domain_Trichoblast",6.86,3.63,19.6,15.3,0.131,0.176,0.159,0.2,0.139,0.172,1.66,3.62,11.5,0.000691,0.0263,1,"df1-WT","RRP5",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3429","AT3G12580","Proliferation Domain_Trichoblast",21.1,7.26,2.31,6.13,0.214,0.118,0.029,0.133,0.198,0.0606,-1.89,3.75,11,0.000916,0.0325,1,"df1-WT","MED37C",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3430","AT3G13310","Proliferation Domain_Trichoblast",909,702,445,324,0.857,1,0.71,0.633,0.881,0.687,-1.07,9.24,58.1,2.63e-14,2.81e-11,1.38e-08,"df1-WT","AT3G13310",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3431","AT3G13460","Proliferation Domain_Trichoblast",63.3,60.5,98.2,132,0.524,0.765,0.391,0.633,0.564,0.465,0.855,6.44,12.7,0.000364,0.0164,1,"df1-WT","ECT2",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3432","AT3G13520","Proliferation Domain_Trichoblast",861,146,340,118,0.976,1,0.957,0.967,0.98,0.96,-0.947,8.58,31.9,1.61e-08,3.61e-06,0.00842,"df1-WT","AGP12",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3433","AT3G13580","Proliferation Domain_Trichoblast",60.1,79.9,122,147,0.595,0.706,0.536,0.733,0.614,0.596,0.957,6.64,17.5,2.96e-05,0.00208,1,"df1-WT","RPL7D",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3434","AT3G13920","Proliferation Domain_Trichoblast",293,265,438,420,0.893,1,0.783,0.867,0.911,0.808,0.619,8.47,15.5,8.07e-05,0.00477,1,"df1-WT","EIF4A1",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3435","AT3G14260","Proliferation Domain_Trichoblast",32.2,96.8,25.4,4.6,0.31,0.412,0.232,0.1,0.327,0.192,-1.76,5.38,26.1,3.3e-07,5.17e-05,0.173,"df1-WT","AT3G14260",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3436","AT3G14310","Proliferation Domain_Trichoblast",14.8,15.7,4.62,3.07,0.143,0.294,0.058,0.0333,0.168,0.0505,-1.91,3.66,11.2,0.000835,0.0303,1,"df1-WT","PME3",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3437","AT3G14595","Proliferation Domain_Trichoblast",75.4,39.9,27.7,30.7,0.393,0.706,0.275,0.433,0.446,0.323,-1,5.63,10.6,0.00111,0.0371,1,"df1-WT","AT3G14595",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3438","AT3G14920","Proliferation Domain_Trichoblast",3.17,6.05,16.2,12.3,0.0714,0.294,0.145,0.233,0.109,0.172,1.77,3.32,10,0.00155,0.0471,1,"df1-WT","AT3G14920",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3439","AT3G15000","Proliferation Domain_Trichoblast",95.5,60.5,136,166,0.548,0.882,0.536,0.7,0.604,0.586,0.92,6.83,17.2,3.4e-05,0.00233,1,"df1-WT","MORF8",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3440","AT3G15210","Proliferation Domain_Trichoblast",76.5,48.4,33.5,9.2,0.429,0.471,0.275,0.167,0.436,0.242,-1.54,5.61,22.8,1.77e-06,0.000209,0.927,"df1-WT","ERF4","ERF4","ethylene responsive element binding factor 4","Down","Proliferation Domain_Trichoblast_Down"
"3441","AT3G15450","Proliferation Domain_Trichoblast",202,312,126,153,0.679,1,0.652,0.667,0.733,0.657,-0.85,7.65,20.5,6.11e-06,0.000587,1,"df1-WT","AT3G15450",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3442","AT3G15630","Proliferation Domain_Trichoblast",114,126,57.8,49.1,0.655,0.824,0.522,0.533,0.683,0.525,-1.15,6.52,21.6,3.37e-06,0.000356,1,"df1-WT","AT3G15630",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3443","AT3G15670","Proliferation Domain_Trichoblast",23.7,10.9,8.09,0,0.274,0.294,0.0725,0,0.277,0.0505,-1.98,3.95,13.9,0.000196,0.01,1,"df1-WT","LEA29",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3444","AT3G15810","Proliferation Domain_Trichoblast",184,148,118,87.4,0.667,0.941,0.493,0.633,0.713,0.535,-0.692,7.13,10.7,0.00105,0.0351,1,"df1-WT","AT3G15810",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3445","AT3G16240","Proliferation Domain_Trichoblast",391,386,206,161,0.81,0.882,0.797,0.733,0.822,0.778,-1.08,8.19,40.7,1.84e-10,6.95e-08,9.62e-05,"df1-WT","TIP2-1",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3446","AT3G16570","Proliferation Domain_Trichoblast",41.7,41.1,19.6,10.7,0.345,0.588,0.145,0.167,0.386,0.152,-1.4,5.03,14.8,0.000118,0.00666,1,"df1-WT","RALF23",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3447","AT3G16950","Proliferation Domain_Trichoblast",42.2,46,71.6,88.9,0.44,0.824,0.391,0.667,0.505,0.475,0.846,5.94,10.1,0.00148,0.0454,1,"df1-WT","LPD1",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3448","AT3G17210","Proliferation Domain_Trichoblast",538,482,335,330,0.857,1,0.812,0.9,0.881,0.838,-0.618,8.74,16.8,4.27e-05,0.00283,1,"df1-WT","HS1",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3449","AT3G18600","Proliferation Domain_Trichoblast",19,7.26,39.3,32.2,0.262,0.294,0.29,0.4,0.267,0.323,1.37,4.66,14.5,0.000144,0.00798,1,"df1-WT","RH51",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3450","AT3G20340","Proliferation Domain_Trichoblast",49.6,37.5,20.8,3.07,0.405,0.353,0.246,0.0667,0.396,0.192,-1.81,5.07,22.9,1.68e-06,0.000201,0.878,"df1-WT","AT3G20340",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3451","AT3G20510","Proliferation Domain_Trichoblast",276,286,204,166,0.786,1,0.536,0.767,0.822,0.606,-0.597,7.89,11.4,0.000754,0.0281,1,"df1-WT","FAX6",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3452","AT3G21680","Proliferation Domain_Trichoblast",185,138,99.4,61.3,0.69,0.882,0.493,0.567,0.723,0.515,-1.01,7,20.8,5.19e-06,0.000511,1,"df1-WT","AT3G21680",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3453","AT3G22310","Proliferation Domain_Trichoblast",12.1,7.26,24.3,26.1,0.155,0.235,0.145,0.3,0.168,0.192,1.28,4.18,10.2,0.00141,0.044,1,"df1-WT","RH9",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3454","AT3G22370","Proliferation Domain_Trichoblast",95,99.2,73.9,33.7,0.631,0.765,0.464,0.5,0.653,0.475,-0.832,6.33,10.5,0.00118,0.0386,1,"df1-WT","AOX1A",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3455","AT3G22600","Proliferation Domain_Trichoblast",27.4,4.84,9.24,0,0.107,0.235,0.101,0,0.129,0.0707,-1.75,3.99,10.9,0.000948,0.0334,1,"df1-WT","AT3G22600",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3456","AT3G22620","Proliferation Domain_Trichoblast",44.8,3.63,6.93,9.2,0.107,0.118,0.087,0.167,0.109,0.111,-1.63,4.52,12.5,0.000402,0.0178,1,"df1-WT","AT3G22620",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3457","AT3G23030","Proliferation Domain_Trichoblast",150,145,87.8,56.7,0.69,1,0.522,0.633,0.743,0.556,-1.02,6.85,20,7.85e-06,0.00072,1,"df1-WT","IAA2","IAA2","indole-3-acetic acid inducible 2","Down","Proliferation Domain_Trichoblast_Down"
"3458","AT3G23170","Proliferation Domain_Trichoblast",15.8,27.8,5.78,6.13,0.155,0.471,0.0725,0.133,0.208,0.0909,-1.79,4.03,13.5,0.000237,0.0116,1,"df1-WT","AT3G23170",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3459","AT3G23300","Proliferation Domain_Trichoblast",34.3,35.1,69.3,59.8,0.44,0.706,0.348,0.533,0.485,0.404,0.91,5.63,10.1,0.00145,0.0445,1,"df1-WT","AT3G23300",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3460","AT3G23830","Proliferation Domain_Trichoblast",89.2,46,157,193,0.429,0.588,0.493,0.667,0.455,0.545,1.34,6.9,36.4,1.63e-09,4.71e-07,0.000854,"df1-WT","RBG4",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3461","AT3G23940","Proliferation Domain_Trichoblast",32.2,33.9,71.6,61.3,0.369,0.706,0.348,0.567,0.426,0.414,1.03,5.62,12.9,0.000338,0.0154,1,"df1-WT","DHAD",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3462","AT3G23990","Proliferation Domain_Trichoblast",170,143,260,290,0.738,0.765,0.696,0.867,0.743,0.747,0.801,7.74,19.6,9.54e-06,0.000845,1,"df1-WT","CPN60",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3463","AT3G24020","Proliferation Domain_Trichoblast",44.3,0,1.16,4.6,0.131,0,0.0145,0.1,0.109,0.0404,-3.08,4.33,26.3,2.99e-07,4.77e-05,0.156,"df1-WT","DIR16",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3464","AT3G24500","Proliferation Domain_Trichoblast",125,62.9,27.7,27.6,0.5,0.471,0.304,0.333,0.495,0.313,-1.77,6.13,36.6,1.48e-09,4.34e-07,0.000776,"df1-WT","MBF1C","MBF1C","multiprotein bridging factor 1C","Down","Proliferation Domain_Trichoblast_Down"
"3465","AT3G25290","Proliferation Domain_Trichoblast",21.1,33.9,9.24,3.07,0.214,0.353,0.0725,0.0667,0.238,0.0707,-1.97,4.32,18.4,1.8e-05,0.00138,1,"df1-WT","AT3G25290",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3466","AT3G25597","Proliferation Domain_Trichoblast",34.3,10.9,9.24,6.13,0.262,0.353,0.101,0.133,0.277,0.111,-1.57,4.37,11.9,0.000577,0.0233,1,"df1-WT","AT3G25597",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3467","AT3G27060","Proliferation Domain_Trichoblast",58.6,73.8,141,132,0.369,0.706,0.391,0.4,0.426,0.394,1.07,6.63,21.6,3.44e-06,0.000361,1,"df1-WT","TSO2",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3468","AT3G27280","Proliferation Domain_Trichoblast",28.5,23,52,56.7,0.31,0.647,0.391,0.467,0.366,0.414,1.04,5.32,11.6,0.000675,0.0261,1,"df1-WT","PHB4",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3469","AT3G27880","Proliferation Domain_Trichoblast",58.6,48.4,24.3,21.5,0.417,0.529,0.246,0.267,0.436,0.253,-1.23,5.43,14.4,0.00015,0.00814,1,"df1-WT","AT3G27880",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3470","AT3G28550","Proliferation Domain_Trichoblast",164,113,229,250,0.655,0.941,0.638,0.467,0.703,0.586,0.783,7.56,17.2,3.31e-05,0.0023,1,"df1-WT","AT3G28550",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3471","AT3G29370","Proliferation Domain_Trichoblast",8.97,19.4,3.47,1.53,0.119,0.176,0.0145,0.0333,0.129,0.0202,-2.26,3.4,11.7,0.000637,0.0253,1,"df1-WT","AT3G29370",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3472","AT3G30720","Proliferation Domain_Trichoblast",9.5,23,1.16,1.53,0.0952,0.412,0.0145,0.0333,0.149,0.0202,-3.41,3.47,20.9,4.77e-06,0.000476,1,"df1-WT","QQS",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3473","AT3G30775","Proliferation Domain_Trichoblast",109,76.2,46.2,52.1,0.583,0.706,0.42,0.5,0.604,0.444,-0.929,6.26,12.5,0.000402,0.0178,1,"df1-WT","POX1",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3474","AT3G32980","Proliferation Domain_Trichoblast",23.2,2.42,3.47,3.07,0.167,0.118,0.0435,0.0667,0.158,0.0505,-2.03,3.71,11,0.000925,0.0327,1,"df1-WT","PER32",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3475","AT3G41762","Proliferation Domain_Trichoblast",25.8,42.4,8.09,12.3,0.274,0.353,0.058,0.167,0.287,0.0909,-1.72,4.64,17.8,2.49e-05,0.00181,1,"df1-WT","AT3G41762",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3476","AT3G41768","Proliferation Domain_Trichoblast",93.9,115,170,178,0.69,0.824,0.768,0.867,0.713,0.798,0.75,7.1,13.1,0.000294,0.0138,1,"df1-WT","AT3G41768",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3477","AT3G42790","Proliferation Domain_Trichoblast",176,195,119,85.9,0.702,0.941,0.594,0.767,0.743,0.646,-0.838,7.22,16.3,5.41e-05,0.00343,1,"df1-WT","AL3","AL3","alfin-like 3","Down","Proliferation Domain_Trichoblast_Down"
"3478","AT3G43430","Proliferation Domain_Trichoblast",34.8,26.6,12.7,3.07,0.357,0.294,0.101,0.0667,0.347,0.0909,-1.88,4.6,19.4,1.08e-05,0.000913,1,"df1-WT","AT3G43430","AT3G43430","RING/U-box superfamily protein","Down","Proliferation Domain_Trichoblast_Down"
"3479","AT3G44190","Proliferation Domain_Trichoblast",243,258,169,163,0.94,1,0.812,0.8,0.95,0.808,-0.59,7.73,10.4,0.00127,0.0406,1,"df1-WT","AT3G44190",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3480","AT3G44750","Proliferation Domain_Trichoblast",10,14.5,55.5,61.3,0.19,0.529,0.348,0.433,0.248,0.374,2.29,5.03,44.1,3.27e-11,1.45e-08,1.71e-05,"df1-WT","HDT1","HDA3","histone deacetylase 3","Up","Proliferation Domain_Trichoblast_Up"
"3481","AT3G45730","Proliferation Domain_Trichoblast",20,38.7,2.31,0,0.131,0.294,0.029,0,0.158,0.0202,-4.27,4.21,44.5,2.56e-11,1.19e-08,1.34e-05,"df1-WT","AT3G45730",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3482","AT3G46080","Proliferation Domain_Trichoblast",10.6,47.2,5.78,6.13,0.167,0.412,0.0725,0.133,0.208,0.0909,-2.03,4.2,17.8,2.47e-05,0.0018,1,"df1-WT","ZAT8","AT3G46080","C2H2-type zinc finger family protein","Down","Proliferation Domain_Trichoblast_Down"
"3483","AT3G47340","Proliferation Domain_Trichoblast",22.7,43.6,10.4,6.13,0.202,0.176,0.116,0.133,0.198,0.121,-1.84,4.55,18.8,1.46e-05,0.00117,1,"df1-WT","ASN1",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3484","AT3G48520","Proliferation Domain_Trichoblast",55.4,41.1,15,1.53,0.298,0.235,0.116,0.0333,0.287,0.0909,-2.45,5.12,37.9,7.59e-10,2.46e-07,0.000398,"df1-WT","CYP94B3",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3485","AT3G49780","Proliferation Domain_Trichoblast",81.2,42.4,35.8,24.5,0.405,0.471,0.333,0.4,0.416,0.354,-1.03,5.72,11.6,0.000648,0.0255,1,"df1-WT","PSK3",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3486","AT3G51800","Proliferation Domain_Trichoblast",168,168,250,290,0.798,0.765,0.681,0.933,0.792,0.758,0.672,7.76,14,0.00018,0.00939,1,"df1-WT","ATG2",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3487","AT3G52060","Proliferation Domain_Trichoblast",6.33,8.47,20.8,18.4,0.107,0.353,0.13,0.233,0.149,0.162,1.46,3.79,10.5,0.00118,0.0386,1,"df1-WT","AT3G52060",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3488","AT3G52140","Proliferation Domain_Trichoblast",14.8,18.2,32.3,46,0.238,0.412,0.217,0.333,0.267,0.253,1.22,4.76,12.2,0.000467,0.0199,1,"df1-WT","AT3G52140",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3489","AT3G52700","Proliferation Domain_Trichoblast",11.1,0,0,0,0.214,0,0,0,0.178,0,-5.76,2.72,10.2,0.00142,0.0441,1,"df1-WT","AT3G52700",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3490","AT3G52800","Proliferation Domain_Trichoblast",208,208,137,117,0.702,0.882,0.71,0.733,0.733,0.717,-0.707,7.43,13,0.000316,0.0145,1,"df1-WT","SAP6",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3491","AT3G52920","Proliferation Domain_Trichoblast",19,1.21,2.31,0,0.119,0.0588,0.029,0,0.109,0.0202,-3,3.38,13.6,0.00023,0.0113,1,"df1-WT","AT3G52920",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3492","AT3G53420","Proliferation Domain_Trichoblast",344,403,178,136,0.798,1,0.739,0.767,0.832,0.747,-1.23,8.09,49.9,1.64e-12,1.06e-09,8.58e-07,"df1-WT","PIP2-1",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3493","AT3G53620","Proliferation Domain_Trichoblast",57,52,18.5,7.67,0.31,0.412,0.217,0.167,0.327,0.202,-2,5.31,31.2,2.35e-08,5.08e-06,0.0123,"df1-WT","PPA4",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3494","AT3G53650","Proliferation Domain_Trichoblast",455,328,164,354,0.726,1,0.406,0.733,0.772,0.505,-0.682,8.37,17.1,3.6e-05,0.00245,1,"df1-WT","AT3G53650",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3495","AT3G54880","Proliferation Domain_Trichoblast",132,120,72.8,67.5,0.655,0.824,0.449,0.6,0.683,0.495,-0.847,6.69,13.1,0.000304,0.0141,1,"df1-WT","AT3G54880",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3496","AT3G54960","Proliferation Domain_Trichoblast",469,465,736,705,0.833,1,0.797,0.867,0.861,0.818,0.627,9.21,20.6,5.76e-06,0.000556,1,"df1-WT","PDIL1-3",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3497","AT3G55230","Proliferation Domain_Trichoblast",70.2,0,3.47,0,0.143,0,0.0435,0,0.119,0.0303,-4.26,4.85,48.5,3.47e-12,1.97e-09,1.82e-06,"df1-WT","DIR24",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3498","AT3G55970","Proliferation Domain_Trichoblast",13.7,19.4,1.16,0,0.143,0.235,0.0145,0,0.158,0.0101,-4.38,3.55,27.8,1.33e-07,2.42e-05,0.0698,"df1-WT","JRG21",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3499","AT3G56070","Proliferation Domain_Trichoblast",74.4,37.5,105,155,0.5,0.765,0.507,0.767,0.545,0.586,1.14,6.52,22.7,1.86e-06,0.000217,0.974,"df1-WT","CYP19-3",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3500","AT3G56090","Proliferation Domain_Trichoblast",706,569,485,365,0.905,1,0.826,0.933,0.921,0.859,-0.588,9.07,17,3.84e-05,0.0026,1,"df1-WT","FER3",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3501","AT3G56240","Proliferation Domain_Trichoblast",147,27.8,57.8,27.6,0.512,0.529,0.522,0.4,0.515,0.485,-0.943,6.24,11.2,0.000826,0.0301,1,"df1-WT","CCH",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3502","AT3G56800","Proliferation Domain_Trichoblast",880,807,552,504,0.94,1,0.855,0.967,0.95,0.889,-0.675,9.43,25.3,5.06e-07,7.35e-05,0.265,"df1-WT","CAM5",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3503","AT3G57150","Proliferation Domain_Trichoblast",26.4,19.4,60.1,82.8,0.298,0.353,0.203,0.433,0.307,0.273,1.55,5.5,27.1,1.98e-07,3.33e-05,0.103,"df1-WT","CBF5",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3504","AT3G57450","Proliferation Domain_Trichoblast",137,119,57.8,49.1,0.607,0.588,0.391,0.4,0.604,0.394,-1.25,6.6,26.1,3.28e-07,5.17e-05,0.172,"df1-WT","AT3G57450",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3505","AT3G58610","Proliferation Domain_Trichoblast",165,152,187,313,0.714,0.882,0.551,0.767,0.743,0.616,0.59,7.66,10.3,0.00136,0.043,1,"df1-WT","AT3G58610",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3506","AT3G58660","Proliferation Domain_Trichoblast",13.7,15.7,38.1,39.9,0.226,0.529,0.232,0.333,0.277,0.263,1.41,4.72,16,6.38e-05,0.0039,1,"df1-WT","AT3G58660",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3507","AT3G58700","Proliferation Domain_Trichoblast",202,194,275,325,0.774,0.941,0.754,0.967,0.802,0.818,0.587,7.95,11.6,0.000674,0.0261,1,"df1-WT","RPL11C",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3508","AT3G59320","Proliferation Domain_Trichoblast",29,19.4,11.6,6.13,0.357,0.529,0.116,0.133,0.386,0.121,-1.42,4.39,10.8,0.00103,0.0349,1,"df1-WT","AT3G59320",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3509","AT3G61430","Proliferation Domain_Trichoblast",219,192,109,50.6,0.679,0.765,0.623,0.567,0.693,0.606,-1.38,7.24,41.7,1.1e-10,4.43e-08,5.75e-05,"df1-WT","PIP1-1",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3510","AT3G61640","Proliferation Domain_Trichoblast",168,208,112,82.8,0.69,0.706,0.449,0.467,0.693,0.455,-0.918,7.2,19.3,1.11e-05,0.000934,1,"df1-WT","AGP20",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3511","AT3G62190","Proliferation Domain_Trichoblast",23.7,14.5,5.78,6.13,0.298,0.412,0.0725,0.1,0.317,0.0808,-1.71,4.06,12.2,0.000483,0.0206,1,"df1-WT","AT3G62190",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3512","AT2G01021","Proliferation Domain_Trichoblast",37.5,46,113,95.1,0.512,0.588,0.696,0.767,0.525,0.717,1.36,6.15,27.5,1.6e-07,2.82e-05,0.0838,"df1-WT","AT2G01021",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3513","AT2G01300","Proliferation Domain_Trichoblast",41.1,21.8,18.5,6.13,0.298,0.353,0.188,0.133,0.307,0.172,-1.33,4.77,11.5,0.000711,0.0269,1,"df1-WT","AT2G01300",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3514","AT2G02130","Proliferation Domain_Trichoblast",124,6.05,17.3,1.53,0.155,0.176,0.188,0.0333,0.158,0.141,-2.76,5.66,46.3,1.03e-11,5.35e-09,5.4e-06,"df1-WT","PDF2.3",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"3515","AT2G03510","Proliferation Domain_Trichoblast",71.7,61.7,103,147,0.643,0.706,0.406,0.733,0.653,0.505,0.851,6.56,13.2,0.000275,0.0131,1,"df1-WT","AT2G03510",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3516","AT2G07671","Proliferation Domain_Trichoblast",79.1,100,154,282,0.726,0.824,0.551,0.833,0.743,0.636,1.21,7.22,35.2,2.98e-09,8.08e-07,0.00156,"df1-WT","AT2G07671",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3517","AT2G07696","Proliferation Domain_Trichoblast",22.7,29,31.2,88.9,0.238,0.529,0.188,0.467,0.287,0.273,1.04,5.34,11.4,0.00072,0.0272,1,"df1-WT","RPS7",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3518","AT2G07708","Proliferation Domain_Trichoblast",154,236,183,477,0.702,0.882,0.522,0.833,0.733,0.616,0.637,8.01,13.6,0.000226,0.0111,1,"df1-WT","AT2G07708",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"3519","AT2G07715","Proliferation Domain_Trichoblast",7.91,16.9,25.4,52.1,0.143,0.471,0.188,0.333,0.198,0.232,1.64,4.56,19.5,1.02e-05,0.000871,1,"df1-WT","AT2G07715",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
