"","gene","cluster_id","sc_111.cpm","sc_113.cpm","sc_112.cpm","sc_114.cpm","sc_111.frq","sc_113.frq","sc_112.frq","sc_114.frq","Control.frq","BRZ.frq","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","Name","TF_Name","Description","up_dn_label","clust_up_dn"
"13994","AT2G38400","Proliferation Domain_Trichoblast",22,16.5,39.6,37.5,0.343,0.241,0.487,0.516,0.304,0.494,0.98,4.93,22.9,1.71e-06,5.82e-05,0.94,"BRZ-Control","AGT3",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"13995","AT2G38470","Proliferation Domain_Trichoblast",19.7,32.1,35.5,53.4,0.409,0.333,0.518,0.703,0.379,0.565,0.793,5.14,16.9,3.99e-05,0.000937,1,"BRZ-Control","WRKY33","WRKY33","WRKY DNA-binding protein 33","Up","Proliferation Domain_Trichoblast_Up"
"13996","AT2G38560","Proliferation Domain_Trichoblast",9.87,14.3,14.9,31.4,0.226,0.264,0.366,0.656,0.241,0.439,0.855,4.14,12.2,0.00047,0.00743,1,"BRZ-Control","TFIIS",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"13997","AT2G38750","Proliferation Domain_Trichoblast",245,201,98,96.6,0.839,0.908,0.712,0.875,0.866,0.753,-1.2,7.32,67.1,2.8e-16,4.9e-14,1.56e-10,"BRZ-Control","ANN4",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"13998","AT2G38760","Proliferation Domain_Trichoblast",74.6,59.3,40.9,31.1,0.679,0.575,0.492,0.531,0.638,0.502,-0.893,5.69,25.5,4.42e-07,1.76e-05,0.244,"BRZ-Control","ANN3",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"13999","AT2G38870","Proliferation Domain_Trichoblast",30.7,7.58,8.18,7.94,0.153,0.149,0.141,0.281,0.152,0.176,-1.29,3.86,23,1.67e-06,5.7e-05,0.919,"BRZ-Control","AT2G38870",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14000","AT2G39020","Proliferation Domain_Trichoblast",20.2,38.3,44.1,62.3,0.409,0.391,0.581,0.781,0.402,0.631,0.92,5.37,24.3,8.52e-07,3.16e-05,0.47,"BRZ-Control","AT2G39020","AT2G39020","Acyl-CoA N-acyltransferases (NAT) superfamily protein","Up","Proliferation Domain_Trichoblast_Up"
"14001","AT2G39100","Proliferation Domain_Trichoblast",4.36,4.9,10,10.2,0.117,0.092,0.241,0.266,0.107,0.247,1.14,3.03,11.8,0.000596,0.00901,1,"BRZ-Control","AT2G39100",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14002","AT2G39200","Proliferation Domain_Trichoblast",6.88,16,0.987,0.953,0.131,0.253,0.0366,0.0469,0.179,0.0392,-3.29,2.42,54.2,1.84e-13,2.27e-11,1.02e-07,"BRZ-Control","MLO12",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14003","AT2G39410","Proliferation Domain_Trichoblast",8.95,5.8,0.846,0,0.212,0.126,0.0262,0,0.179,0.0196,-3.78,2.01,44.9,2.15e-11,1.94e-09,1.2e-05,"BRZ-Control","AT2G39410",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14004","AT2G39420","Proliferation Domain_Trichoblast",41.5,45.5,11,19.4,0.489,0.529,0.215,0.406,0.504,0.263,-1.6,4.82,59.8,1.08e-14,1.58e-12,6.01e-09,"BRZ-Control","AT2G39420",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14005","AT2G39530","Proliferation Domain_Trichoblast",12.8,16.9,1.13,1.59,0.117,0.368,0.0262,0.0781,0.214,0.0392,-3.44,2.88,81.1,2.3e-19,4.67e-17,1.28e-13,"BRZ-Control","AT2G39530",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14006","AT2G39900","Proliferation Domain_Trichoblast",176,78,91.8,58.4,0.818,0.678,0.743,0.797,0.763,0.757,-0.71,6.68,20,7.86e-06,0.000222,1,"BRZ-Control","WLIN2A","WLIM2a","GATA type zinc finger transcription factor family protein","Down","Proliferation Domain_Trichoblast_Down"
"14007","AT2G40080","Proliferation Domain_Trichoblast",13.3,8.47,22.3,30.5,0.234,0.161,0.387,0.578,0.205,0.435,1.17,4.3,23.9,1.04e-06,3.76e-05,0.575,"BRZ-Control","ELF4",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14008","AT2G40110","Proliferation Domain_Trichoblast",22.9,8.92,6.2,6.04,0.182,0.172,0.105,0.141,0.179,0.114,-1.44,3.53,25.5,4.57e-07,1.8e-05,0.252,"BRZ-Control","AT2G40110",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14009","AT2G40360","Proliferation Domain_Trichoblast",71.6,76.2,136,105,0.577,0.54,0.785,0.828,0.562,0.796,0.712,6.63,20.1,7.45e-06,0.000213,1,"BRZ-Control","BOP1",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14010","AT2G40430","Proliferation Domain_Trichoblast",24.6,43.7,41.9,62.9,0.394,0.425,0.586,0.719,0.406,0.62,0.651,5.43,12.7,0.000374,0.00615,1,"BRZ-Control","AT2G40430",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14011","AT2G40890","Proliferation Domain_Trichoblast",6.42,13.4,1.69,3.18,0.124,0.195,0.0524,0.125,0.152,0.0706,-1.98,2.47,25.5,4.43e-07,1.76e-05,0.244,"BRZ-Control","CYP98A3",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14012","AT2G40970","Proliferation Domain_Trichoblast",17,33.4,27.6,54,0.35,0.368,0.497,0.656,0.357,0.537,0.696,5.03,12.5,0.000416,0.00674,1,"BRZ-Control","MYBC1","MYBC1","Homeodomain-like superfamily protein","Up","Proliferation Domain_Trichoblast_Up"
"14013","AT2G41100","Proliferation Domain_Trichoblast",20.9,8.92,24.4,26,0.255,0.161,0.366,0.375,0.219,0.369,0.694,4.42,9.24,0.00237,0.0273,1,"BRZ-Control","CML12",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14014","AT2G41190","Proliferation Domain_Trichoblast",7.8,6.69,0.987,3.81,0.117,0.115,0.0314,0.109,0.116,0.051,-1.91,2.24,19.5,1.02e-05,0.000279,1,"BRZ-Control","AVT1A",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14015","AT2G41220","Proliferation Domain_Trichoblast",69.3,54.8,52.2,30.2,0.723,0.506,0.675,0.609,0.638,0.659,-0.598,5.71,11.5,0.000705,0.0103,1,"BRZ-Control","GLU2",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14016","AT2G41650","Proliferation Domain_Trichoblast",61.7,145,121,222,0.584,0.621,0.812,0.953,0.598,0.847,0.787,7.09,27.6,1.52e-07,6.65e-06,0.0841,"BRZ-Control","AT2G41650",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14017","AT2G41770","Proliferation Domain_Trichoblast",17.7,13.8,7.47,8.89,0.358,0.241,0.204,0.25,0.312,0.216,-0.998,3.59,13.5,0.000233,0.00419,1,"BRZ-Control","STL1",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14018","AT2G41800","Proliferation Domain_Trichoblast",136,150,254,240,0.723,0.782,0.895,0.906,0.746,0.898,0.792,7.62,31.9,1.62e-08,8.83e-07,0.00894,"BRZ-Control","AT2G41800",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14019","AT2G41810","Proliferation Domain_Trichoblast",14,8.92,7.33,4.13,0.168,0.103,0.152,0.125,0.143,0.145,-0.986,3.2,10.7,0.00109,0.0149,1,"BRZ-Control","AT2G41810",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14020","AT2G41830","Proliferation Domain_Trichoblast",8.03,5.35,3.81,2.22,0.175,0.115,0.126,0.0938,0.152,0.118,-1.13,2.41,8.14,0.00433,0.0437,1,"BRZ-Control","AT2G41830",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14021","AT2G42380","Proliferation Domain_Trichoblast",3.9,9.81,1.83,2.86,0.109,0.172,0.0628,0.109,0.134,0.0745,-1.41,2.09,10,0.00157,0.0198,1,"BRZ-Control","BZIP34","BZIP34","Basic-leucine zipper (bZIP) transcription factor family protein","Down","Proliferation Domain_Trichoblast_Down"
"14022","AT2G42950","Proliferation Domain_Trichoblast",2.98,4.01,7.05,8.89,0.0657,0.092,0.204,0.266,0.0759,0.22,1.19,2.67,10.1,0.00146,0.0188,1,"BRZ-Control","AT2G42950",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14023","AT2G43030","Proliferation Domain_Trichoblast",5.51,3.12,12.7,8.58,0.153,0.069,0.298,0.281,0.121,0.294,1.28,3.14,15.1,0.000101,0.00208,1,"BRZ-Control","RPL3A",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14024","AT2G43150","Proliferation Domain_Trichoblast",59.2,92.7,11.6,36.5,0.394,0.77,0.215,0.828,0.54,0.369,-1.84,5.57,98.5,3.73e-23,1.07e-20,2.08e-17,"BRZ-Control","AT2G43150",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14025","AT2G43290","Proliferation Domain_Trichoblast",112,108,61.7,50.5,0.737,0.621,0.529,0.516,0.692,0.525,-0.969,6.37,35.4,2.74e-09,1.77e-07,0.00152,"BRZ-Control","CML5",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14026","AT2G43330","Proliferation Domain_Trichoblast",23.6,22.3,13,13.3,0.365,0.391,0.293,0.359,0.375,0.31,-0.813,4.18,12,0.000534,0.00825,1,"BRZ-Control","INT1",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14027","AT2G43360","Proliferation Domain_Trichoblast",6.42,20.5,15.8,22.9,0.124,0.31,0.356,0.516,0.196,0.396,0.705,4.02,7.91,0.00492,0.0481,1,"BRZ-Control","BIO2",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14028","AT2G43370","Proliferation Domain_Trichoblast",4.13,2.23,8.03,6.67,0.117,0.0575,0.241,0.234,0.0938,0.239,1.15,2.65,9.07,0.0026,0.0294,1,"BRZ-Control","SNRNP35",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14029","AT2G43540","Proliferation Domain_Trichoblast",32.4,16,51.6,23.2,0.489,0.299,0.602,0.578,0.415,0.596,0.623,5.06,9.57,0.00198,0.0238,1,"BRZ-Control","AT2G43540",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14030","AT2G43590","Proliferation Domain_Trichoblast",11.9,9.81,4.51,5.4,0.197,0.23,0.0681,0.203,0.21,0.102,-1.19,3,14.2,0.000169,0.0032,1,"BRZ-Control","AT2G43590",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14031","AT2G43660","Proliferation Domain_Trichoblast",2.07,0,5.22,5.72,0.0365,0,0.152,0.188,0.0223,0.161,2.06,2.06,15.2,9.55e-05,0.00199,1,"BRZ-Control","AT2G43660",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14032","AT2G43820","Proliferation Domain_Trichoblast",158,74,23.8,26.4,0.679,0.793,0.298,0.703,0.723,0.4,-2.2,6.14,148,6.44e-34,4.21e-31,3.59e-28,"BRZ-Control","UGT74F2",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14033","AT2G43870","Proliferation Domain_Trichoblast",41.1,54.8,22.3,30.5,0.533,0.483,0.366,0.5,0.513,0.4,-0.865,5.18,21.3,4e-06,0.000125,1,"BRZ-Control","AT2G43870",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14034","AT2G43880","Proliferation Domain_Trichoblast",81.5,128,39.9,56.5,0.686,0.667,0.503,0.656,0.679,0.541,-1.1,6.22,44.1,3.24e-11,2.82e-09,1.8e-05,"BRZ-Control","AT2G43880",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14035","AT2G43890","Proliferation Domain_Trichoblast",32.6,40.6,3.38,2.54,0.394,0.299,0.0838,0.0781,0.357,0.0824,-3.51,4.19,162,5.06e-37,4.46e-34,2.82e-31,"BRZ-Control","AT2G43890",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14036","AT2G44010","Proliferation Domain_Trichoblast",7.57,5.8,0.987,1.59,0.182,0.138,0.0366,0.0781,0.165,0.0471,-2.49,2.02,25.2,5.34e-07,2.05e-05,0.294,"BRZ-Control","AT2G44010",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14037","AT2G44040","Proliferation Domain_Trichoblast",10.1,8.92,14.5,22.9,0.219,0.161,0.298,0.375,0.196,0.318,0.872,3.87,11.2,0.000825,0.0117,1,"BRZ-Control","DAPB1",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14038","AT2G44080","Proliferation Domain_Trichoblast",4.59,6.24,35.1,28,0.0803,0.092,0.518,0.516,0.0848,0.518,2.62,4.36,94.3,3.09e-22,8.14e-20,1.72e-16,"BRZ-Control","ARL",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14039","AT2G44270","Proliferation Domain_Trichoblast",20.7,15.2,37.5,35.6,0.394,0.241,0.581,0.625,0.335,0.592,1.01,4.84,23.2,1.47e-06,5.12e-05,0.807,"BRZ-Control","NCS6",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14040","AT2G44450","Proliferation Domain_Trichoblast",8.95,10.3,1.27,2.54,0.0949,0.218,0.0366,0.125,0.143,0.0588,-2.44,2.44,35.3,2.81e-09,1.8e-07,0.00156,"BRZ-Control","BGLU15",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14041","AT2G44640","Proliferation Domain_Trichoblast",3.44,2.67,10,7.94,0.0876,0.069,0.241,0.25,0.0804,0.243,1.54,2.83,17.5,2.81e-05,0.000689,1,"BRZ-Control","AT2G44640",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14042","AT2G44740","Proliferation Domain_Trichoblast",56.4,51.7,33.8,26,0.672,0.483,0.45,0.484,0.598,0.459,-0.844,5.4,21.3,3.89e-06,0.000122,1,"BRZ-Control","CYCU4-1",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14043","AT2G44750","Proliferation Domain_Trichoblast",1.61,2.23,5.36,5.08,0.0511,0.0575,0.157,0.203,0.0536,0.169,1.5,2.11,9.42,0.00215,0.0252,1,"BRZ-Control","TPK2",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14044","AT2G44790","Proliferation Domain_Trichoblast",237,478,74.3,142,0.832,1,0.723,0.922,0.897,0.773,-1.71,7.84,152,1.07e-34,7.72e-32,5.95e-29,"BRZ-Control","UCC2",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14045","AT2G44860","Proliferation Domain_Trichoblast",116,105,199,144,0.781,0.575,0.848,0.781,0.701,0.831,0.629,7.16,18,2.26e-05,0.000566,1,"BRZ-Control","AT2G44860",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14046","AT2G45050","Proliferation Domain_Trichoblast",214,223,464,402,0.81,0.793,0.916,0.969,0.804,0.929,0.986,8.36,59.4,1.35e-14,1.95e-12,7.49e-09,"BRZ-Control","GATA2","GATA2","GATA transcription factor 2","Up","Proliferation Domain_Trichoblast_Up"
"14047","AT2G45080","Proliferation Domain_Trichoblast",1.38,7.58,9.3,13.7,0.0438,0.126,0.257,0.297,0.0759,0.267,1.64,3.05,22.9,1.72e-06,5.85e-05,0.949,"BRZ-Control","CYCU2-1",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14048","AT2G45170","Proliferation Domain_Trichoblast",82.6,41.5,31.4,27.3,0.467,0.552,0.377,0.672,0.5,0.451,-1.07,5.54,34.1,5.21e-09,3.16e-07,0.00289,"BRZ-Control","ATG8E",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14049","AT2G45180","Proliferation Domain_Trichoblast",17,44.1,6.63,6.67,0.168,0.356,0.0733,0.219,0.241,0.11,-1.97,4.06,60.2,8.81e-15,1.31e-12,4.91e-09,"BRZ-Control","AT2G45180",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14050","AT2G45440","Proliferation Domain_Trichoblast",10.6,18.7,24.4,28.6,0.255,0.31,0.497,0.578,0.277,0.518,0.929,4.4,16.4,5.26e-05,0.0012,1,"BRZ-Control","DHDPS2",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14051","AT2G45695","Proliferation Domain_Trichoblast",55.3,29,88.9,41,0.65,0.333,0.759,0.609,0.527,0.722,0.613,5.82,11.7,0.000625,0.00936,1,"BRZ-Control","URM1-1",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14052","AT2G45730","Proliferation Domain_Trichoblast",11,13.8,20.6,22.9,0.234,0.207,0.372,0.391,0.223,0.376,0.825,4.15,11.5,0.000691,0.0101,1,"BRZ-Control","AT2G45730",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14053","AT2G45860","Proliferation Domain_Trichoblast",37.6,30.3,69.4,51.8,0.496,0.379,0.639,0.578,0.451,0.624,0.835,5.62,21.2,4.25e-06,0.000131,1,"BRZ-Control","AT2G45860",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14054","AT2G46230","Proliferation Domain_Trichoblast",67.2,60.6,134,96.2,0.657,0.483,0.754,0.766,0.589,0.757,0.845,6.52,27.2,1.87e-07,8.07e-06,0.103,"BRZ-Control","AT2G46230",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14055","AT2G46270","Proliferation Domain_Trichoblast",9.18,15.6,16.5,23.5,0.19,0.287,0.419,0.406,0.228,0.416,0.725,4.04,8.51,0.00353,0.0373,1,"BRZ-Control","GBF3","GBF3","G-box binding factor 3","Up","Proliferation Domain_Trichoblast_Up"
"14056","AT2G46740","Proliferation Domain_Trichoblast",47.5,31.2,30.4,20,0.423,0.379,0.429,0.484,0.406,0.443,-0.641,5.05,10.8,0.00101,0.014,1,"BRZ-Control","GULLO5",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14057","AT2G46780","Proliferation Domain_Trichoblast",14.5,16,10.1,6.67,0.307,0.264,0.267,0.266,0.29,0.267,-0.795,3.59,8.63,0.00331,0.0354,1,"BRZ-Control","AT2G46780",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14058","AT2G46940","Proliferation Domain_Trichoblast",12.6,4.46,20.3,12.7,0.277,0.0805,0.387,0.312,0.201,0.369,0.924,3.83,11.6,0.000645,0.00961,1,"BRZ-Control","AT2G46940",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14059","AT2G47000","Proliferation Domain_Trichoblast",78.7,78,52.9,42.6,0.73,0.586,0.654,0.656,0.674,0.655,-0.708,5.98,17.3,3.18e-05,0.000768,1,"BRZ-Control","ABCB4",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14060","AT2G47160","Proliferation Domain_Trichoblast",4.13,4.9,9.16,9.53,0.102,0.126,0.267,0.25,0.112,0.263,1.07,2.94,9.96,0.0016,0.0201,1,"BRZ-Control","BOR1",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14061","AT2G47260","Proliferation Domain_Trichoblast",1.38,1.78,8.88,9.21,0.0438,0.0345,0.215,0.219,0.0402,0.216,2.54,2.66,34.4,4.64e-09,2.84e-07,0.00257,"BRZ-Control","WRKY23","WRKY23","WRKY DNA-binding protein 23","Up","Proliferation Domain_Trichoblast_Up"
"14062","AT2G47420","Proliferation Domain_Trichoblast",25.7,29.9,62.6,56.2,0.394,0.379,0.639,0.734,0.388,0.663,1.12,5.49,36.2,1.82e-09,1.2e-07,0.00101,"BRZ-Control","DIM1A",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14063","AT2G47440","Proliferation Domain_Trichoblast",14,32.5,7.19,15.9,0.299,0.379,0.199,0.438,0.33,0.259,-0.997,4,16.4,5.07e-05,0.00116,1,"BRZ-Control","AT2G47440",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14064","AT2G47460","Proliferation Domain_Trichoblast",33.3,11.1,56.4,18.7,0.46,0.138,0.508,0.391,0.335,0.478,0.757,5.04,13.4,0.000259,0.00456,1,"BRZ-Control","MYB12","MYB12","myb domain protein 12","Up","Proliferation Domain_Trichoblast_Up"
"14065","AT2G47730","Proliferation Domain_Trichoblast",2480,2030,1450,1510,1,1,1,1,1,1,-0.601,10.9,40.6,1.94e-10,1.53e-08,0.000108,"BRZ-Control","GSTF8",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14066","AT2G47770","Proliferation Domain_Trichoblast",8.26,4.9,47.9,28,0.131,0.0805,0.487,0.312,0.112,0.443,2.52,4.65,102,6.68e-24,2.05e-21,3.73e-18,"BRZ-Control","TSPO",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14067","AT2G47890","Proliferation Domain_Trichoblast",14.2,9.81,29.2,18.1,0.277,0.161,0.419,0.375,0.232,0.408,0.981,4.29,16.6,4.62e-05,0.00107,1,"BRZ-Control","COL13","AT2G47890","B-box type zinc finger protein with CCT domain-containing protein","Up","Proliferation Domain_Trichoblast_Up"
"14068","AT2G47950","Proliferation Domain_Trichoblast",29.1,24.1,11.1,8.89,0.292,0.264,0.194,0.281,0.281,0.216,-1.4,4.19,34.6,4.2e-09,2.61e-07,0.00233,"BRZ-Control","AT2G47950",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14069","AT2G48010","Proliferation Domain_Trichoblast",2.52,11.6,9.44,12.4,0.073,0.172,0.236,0.359,0.112,0.267,0.91,3.18,8.52,0.00352,0.0373,1,"BRZ-Control","RKF3",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14070","AT2G48080","Proliferation Domain_Trichoblast",4.59,6.24,1.55,1.27,0.109,0.092,0.0524,0.0625,0.103,0.0549,-1.82,1.79,12.3,0.000446,0.00712,1,"BRZ-Control","AT2G48080",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14071","AT2G48100","Proliferation Domain_Trichoblast",25.2,25,44.4,44.8,0.445,0.322,0.634,0.672,0.397,0.643,0.826,5.17,18.4,1.82e-05,0.000466,1,"BRZ-Control","AT2G48100","AT2G48100","Exonuclease family protein","Up","Proliferation Domain_Trichoblast_Up"
"14072","AT4G00080","Proliferation Domain_Trichoblast",112,70,223,130,0.642,0.506,0.796,0.766,0.589,0.788,0.945,7.1,38.8,4.81e-10,3.4e-08,0.000267,"BRZ-Control","UNE11",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14073","AT4G00238","Proliferation Domain_Trichoblast",1.84,6.69,5.78,11.1,0.0511,0.126,0.173,0.328,0.0804,0.212,1.14,2.69,9.4,0.00217,0.0254,1,"BRZ-Control","STKL1","AT4G00238","DNA-binding storekeeper protein-related transcriptional regulator","Up","Proliferation Domain_Trichoblast_Up"
"14074","AT4G00430","Proliferation Domain_Trichoblast",122,75.8,35.2,31.1,0.562,0.713,0.319,0.547,0.621,0.376,-1.57,6.05,81.2,2.24e-19,4.59e-17,1.25e-13,"BRZ-Control","PIP1.4",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14075","AT4G00620","Proliferation Domain_Trichoblast",5.51,11.1,10.7,18.1,0.124,0.172,0.251,0.406,0.143,0.29,0.83,3.52,8.6,0.00337,0.0359,1,"BRZ-Control","FOLD4",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14076","AT4G00680","Proliferation Domain_Trichoblast",15.4,7.13,1.83,3.18,0.131,0.184,0.0419,0.141,0.152,0.0667,-2.36,2.81,41.8,1.03e-10,8.56e-09,5.72e-05,"BRZ-Control","ADF8",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14077","AT4G00895","Proliferation Domain_Trichoblast",73.2,22.7,101,54.3,0.599,0.287,0.639,0.531,0.478,0.612,0.767,6.05,19,1.32e-05,0.00035,1,"BRZ-Control","AT4G00895",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14078","AT4G00900","Proliferation Domain_Trichoblast",5.51,8.02,1.69,2.86,0.131,0.195,0.0628,0.125,0.156,0.0784,-1.59,2.13,13,0.000308,0.00526,1,"BRZ-Control","ECA2",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14079","AT4G01070","Proliferation Domain_Trichoblast",23.2,34.8,5.78,9.21,0.277,0.437,0.12,0.328,0.339,0.173,-1.96,4.08,61.4,4.78e-15,7.35e-13,2.66e-09,"BRZ-Control","UGT72B1",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14080","AT4G01140","Proliferation Domain_Trichoblast",6.88,6.69,1.97,1.27,0.175,0.149,0.0576,0.0469,0.165,0.0549,-1.98,2.11,18.6,1.6e-05,0.000415,1,"BRZ-Control","AT4G01140",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14081","AT4G01310","Proliferation Domain_Trichoblast",3.21,2.67,5.07,10.2,0.0949,0.069,0.162,0.359,0.0848,0.212,1.17,2.52,8.78,0.00305,0.0333,1,"BRZ-Control","RPL5",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14082","AT4G01560","Proliferation Domain_Trichoblast",27.8,42.8,46.5,61.6,0.474,0.414,0.592,0.781,0.451,0.639,0.641,5.49,12.5,0.000417,0.00675,1,"BRZ-Control","MEE49",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14083","AT4G01630","Proliferation Domain_Trichoblast",124,125,7.75,9.21,0.584,0.793,0.168,0.359,0.665,0.216,-3.9,6.01,370,1.21e-81,6.14e-78,6.76e-76,"BRZ-Control","EXPA17",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14084","AT4G01660","Proliferation Domain_Trichoblast",15.4,28.5,11.4,14.6,0.336,0.391,0.288,0.391,0.357,0.314,-0.676,4.07,7.95,0.00482,0.0475,1,"BRZ-Control","ABC1",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14085","AT4G01700","Proliferation Domain_Trichoblast",22.9,33.4,53.8,50.2,0.35,0.391,0.555,0.625,0.366,0.573,0.937,5.36,24.9,6e-07,2.28e-05,0.331,"BRZ-Control","AT4G01700",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14086","AT4G01870","Proliferation Domain_Trichoblast",86,83.4,98.8,172,0.62,0.586,0.749,0.766,0.607,0.753,0.604,6.79,15.1,0.000104,0.00213,1,"BRZ-Control","AT4G01870",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14087","AT4G02200","Proliferation Domain_Trichoblast",10.1,3.57,17.3,8.26,0.241,0.092,0.393,0.281,0.183,0.365,0.892,3.53,9.2,0.00243,0.0279,1,"BRZ-Control","AT4G02200",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14088","AT4G02220","Proliferation Domain_Trichoblast",6.65,10.3,18.5,17.5,0.175,0.23,0.366,0.406,0.196,0.376,1.16,3.82,18.5,1.68e-05,0.000437,1,"BRZ-Control","AT4G02220",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
"14089","AT4G02290","Proliferation Domain_Trichoblast",7.57,11.6,0.846,2.22,0.0511,0.253,0.0262,0.0938,0.129,0.0431,-2.75,2.33,39.4,3.49e-10,2.57e-08,0.000194,"BRZ-Control","AtGH9B13",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14090","AT4G03110","Proliferation Domain_Trichoblast",8.49,9.36,3.1,3.81,0.219,0.218,0.0942,0.156,0.219,0.11,-1.38,2.62,14.7,0.000125,0.00249,1,"BRZ-Control","BRN1",NA,NA,"Down","Proliferation Domain_Trichoblast_Down"
"14091","AT4G03180","Proliferation Domain_Trichoblast",22,29,49.5,40.3,0.394,0.402,0.623,0.641,0.397,0.627,0.864,5.19,20,7.88e-06,0.000222,1,"BRZ-Control","AT4G03180",NA,NA,"Up","Proliferation Domain_Trichoblast_Up"
