GeneID,Name,Description
AT2G40770,AT2G40770,"RING-finger, DEAD-like helicase, PHD and SNF2 domain-containing protein"
AT2G40830,RHC1A,RING-H2 finger C1A
AT2G41310,RR3,response regulator 3
AT2G41370,BOP2,Ankyrin repeat family protein / BTB/POZ domain-containing protein
AT2G41450,AT2G41450,N-acetyltransferase
AT2G41900,OXS2,CCCH-type zinc finger protein with ARM repeat domain-containing protein
AT2G42040,AT2G42040,WRC protein
AT2G42150,AT2G42150,DNA-binding bromodomain-containing protein
AT2G42360,AT2G42360,RING/U-box superfamily protein
AT2G42400,VOZ2,vascular plant one zinc finger protein 2
AT2G42430,LBD16,lateral organ boundaries-domain 16
AT2G42440,ASL15,Lateral organ boundaries (LOB) domain family protein
AT2G43060,IBH1,ILI1 binding bHLH 1
AT2G43220,AT2G43220,Cysteine/Histidine-rich C1 domain family protein
AT2G43280,AT2G43280,Far-red impaired responsive (FAR1) family protein
AT2G43500,AT2G43500,Plant regulator RWP-RK family protein
AT2G44020,AT2G44020,Mitochondrial transcription termination factor family protein
AT2G44150,ASHH3,histone-lysine N-methyltransferase ASHH3
AT2G44410,AT2G44410,RING/U-box superfamily protein
AT2G44430,AT2G44430,DNA-binding bromodomain-containing protein
AT2G44730,AT2G44730,Alcohol dehydrogenase transcription factor Myb/SANT-like family protein
AT2G44980,ASG3,SNF2 domain-containing protein / helicase domain-containing protein
AT2G45410,LBD19,LOB domain-containing protein 19
AT2G45420,LBD18,LOB domain-containing protein 18
AT2G45460,AT2G45460,SMAD/FHA domain-containing protein
AT2G45480,GRF9,growth-regulating factor 9
AT2G45800,PLIM2a,GATA type zinc finger transcription factor family protein
AT2G45880,BAM7,beta-amylase 7
AT2G46020,BRM,transcription regulatory protein SNF2
AT2G46040,AT2G46040,ARID/BRIGHT AND ELM2 DNA-binding domain-containing protein
AT2G46160,AT2G46160,RING/U-box superfamily protein
AT2G46260,LRB1,BTB/POZ/Kelch-associated protein
AT2G46670,AT2G46670,CCT motif family protein
AT2G46735,AT2G46735,death domain associated protein
AT2G46990,IAA20,indole-3-acetic acid inducible 20
AT2G47090,AT2G47090,zinc ion binding/nucleic acid binding protein
AT2G47270,UPB1,transcription factor UPBEAT protein
AT2G47430,CKI1,Signal transduction histidine kinase
AT2G47620,SWI3A,SWITCH/sucrose nonfermenting 3A
AT2G47680,AT2G47680,zinc finger (CCCH type) helicase family protein
AT2G47700,RFI2,RING/U-box superfamily protein
AT2G47850,AT2G47850,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT2G48100,AT2G48100,Exonuclease family protein
AT3G01030,AT3G01030,C2H2 and C2HC zinc fingers superfamily protein
AT3G01320,SNL1,SIN3-like 1
AT3G01460,MBD9,methyl-CPG-binding domain 9
AT3G01530,MYB57,myb domain protein 57
AT3G01890,AT3G01890,SWIB/MDM2 domain superfamily protein
AT3G02400,AT3G02400,SMAD/FHA domain-containing protein
AT3G02550,LBD41,LOB domain-containing protein 41
AT3G02680,NBS1,nijmegen breakage syndrome 1
AT3G02790,AT3G02790,zinc finger (C2H2 type) family protein
AT3G02830,ZFN1,zinc finger protein 1
AT3G02860,AT3G02860,zinc ion binding protein
AT3G02890,AT3G02890,RING/FYVE/PHD zinc finger superfamily protein
AT3G02980,MCC1,MEIOTIC CONTROL OF CROSSOVERS1
AT3G03550,AT3G03550,RING/U-box superfamily protein
AT3G03590,AT3G03590,SWIB/MDM2 domain superfamily protein
AT3G03760,LBD20,LOB domain-containing protein 20
AT3G04280,RR22,response regulator 22
AT3G04380,SUVR4,SET-domain containing protein lysine methyltransferase family protein
AT3G04410,AT3G04410,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT3G04580,EIN4,"Signal transduction histidine kinase, hybrid-type, ethylene sensor"
AT3G04730,IAA16,indoleacetic acid-induced protein 16
AT3G04850,AT3G04850,Tesmin/TSO1-like CXC domain-containing protein
AT3G04930,AT3G04930,DNA-binding storekeeper protein-related transcriptional regulator
AT3G05200,ATL6,RING/U-box superfamily protein
AT3G05380,ALY2,ALWAYS EARLY 2
AT3G05480,RAD9,cell cycle checkpoint control protein family
AT3G05670,AT3G05670,RING/U-box protein
AT3G05760,AT3G05760,C2H2 and C2HC zinc fingers superfamily protein
AT3G05800,AIF1,AtBS1(activation-tagged BRI1 suppressor 1)-interacting factor 1
AT3G06010,ATCHR12,SNF2/Brahma-type chromatin-remodeling protein CHR12
AT3G06250,FRS7,FAR1-related sequence 7
AT3G06400,CHR11,chromatin-remodeling protein 11
AT3G06410,AT3G06410,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT3G06590,AT3G06590,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT3G07220,FHA2,SMAD/FHA domain-containing protein
AT3G07260,AT3G07260,SMAD/FHA domain-containing protein
AT3G07500,AT3G07500,Far-red impaired responsive (FAR1) family protein
AT3G07610,IBM1,Transcription factor jumonji (jmjC) domain-containing protein
AT3G07670,AT3G07670,Rubisco methyltransferase family protein
AT3G07740,ADA2A,ADA2 2A
AT3G08020,AT3G08020,PHD finger family protein
AT3G08500,MYB83,myb domain protein 83
AT3G08505,AT3G08505,zinc finger (CCCH-type/C3HC4-type RING finger) family protein
AT3G09230,MYB1,myb domain protein 1
AT3G09290,TAC1,telomerase activator1
AT3G09735,AT3G09735,S1FA-like DNA-binding protein
AT3G10000,EDA31,Homeodomain-like superfamily protein
AT3G10030,AT3G10030,aspartate/glutamate/uridylate kinase family protein
AT3G10040,AT3G10040,sequence-specific DNA binding transcription factor
AT3G10070,TAF12,TBP-associated factor 12
AT3G10113,AT3G10113,Homeodomain-like superfamily protein
AT3G10390,FLD,protein FLOWERING locus D-like protein
AT3G10470,AT3G10470,C2H2-type zinc finger family protein
AT3G10500,NAC053,NAC domain containing protein 53
AT3G10585,AT3G10585,Homeodomain-like superfamily protein
AT3G10595,AT3G10595,Duplicated homeodomain-like superfamily protein
AT3G10800,BZIP28,Basic-leucine zipper (bZIP) transcription factor family protein
AT3G11090,LBD21,LOB domain-containing protein 21
AT3G11100,AT3G11100,sequence-specific DNA binding transcription factor
AT3G11200,AL2,alfin-like 2
AT3G11280,AT3G11280,Duplicated homeodomain-like superfamily protein
AT3G11440,MYB65,myb domain protein 65
AT3G11450,AT3G11450,DnaJ and Myb-like DNA-binding domain-containing protein
AT3G12130,AT3G12130,KH domain-containing protein / zinc finger (CCCH type) family protein
AT3G12270,PRMT3,protein arginine methyltransferase 3
AT3G12280,RBR1,retinoblastoma-related 1
AT3G12480,NF-YC11,"nuclear factor Y, subunit C11"
AT3G12680,HUA1,floral homeotic protein (HUA1)
AT3G12810,PIE1,SNF2 domain-containing protein / helicase domain-containing protein
AT3G12820,MYB10,myb domain protein 10
AT3G12890,ASML2,activator of spomin::LUC2
AT3G12910,AT3G12910,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT3G12977,AT3G12977,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT3G12980,HAC5,histone acetyltransferase of the CBP family 5
AT3G13350,AT3G13350,HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain-containing protein
AT3G13445,TBP1,TATA binding protein 1
AT3G13682,LDL2,LSD1-like2
AT3G13810,IDD11,indeterminate(ID)-domain 11
AT3G13840,AT3G13840,GRAS family transcription factor
AT3G13850,LBD22,LOB domain-containing protein 22
AT3G13960,GRF5,growth-regulating factor 5
AT3G14180,ASIL2,sequence-specific DNA binding transcription factor
AT3G14230,RAP2.2,related to AP2 2
AT3G14700,AT3G14700,SART-1 family
AT3G14740,AT3G14740,RING/FYVE/PHD zinc finger superfamily protein
AT3G14980,ROS4,Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein
AT3G15470,AT3G15470,Transducin/WD40 repeat-like superfamily protein
AT3G15540,IAA19,indole-3-acetic acid inducible 19
AT3G15790,MBD11,methyl-CPG-binding domain 11
AT3G16160,AT3G16160,Tesmin/TSO1-like CXC domain-containing protein
AT3G16350,AT3G16350,Homeodomain-like superfamily protein
AT3G16500,PAP1,phytochrome-associated protein 1
AT3G16600,AT3G16600,SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-like protein
AT3G16857,RR1,response regulator 1
AT3G16940,AT3G16940,calmodulin-binding transcription activator
AT3G17010,REM22,AP2/B3-like transcriptional factor family protein
AT3G17100,AT3G17100,sequence-specific DNA binding transcription factor
AT3G17600,IAA31,indole-3-acetic acid inducible 31
AT3G17860,JAZ3,jasmonate-zim-domain protein 3
AT3G18640,AT3G18640,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT3G18650,AGL103,AGAMOUS-like 103
AT3G18870,AT3G18870,Mitochondrial transcription termination factor family protein
AT3G18960,AT3G18960,AP2/B3-like transcriptional factor family protein
AT3G19070,AT3G19070,Homeodomain-like superfamily protein
AT3G19080,AT3G19080,SWIB complex BAF60b domain-containing protein
AT3G19184,AT3G19184,AP2/B3-like transcriptional factor family protein
AT3G19210,RAD54,DNA repair/recombination protein
AT3G19290,ABF4,ABRE binding factor 4
AT3G19360,AT3G19360,Zinc finger (CCCH-type) family protein
AT3G19500,AT3G19500,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT3G19510,HAT3.1,Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein
AT3G19580,ZF2,zinc-finger protein 2
AT3G19860,bHLH121,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT3G20010,AT3G20010,SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-like protein
AT3G20280,AT3G20280,RING/FYVE/PHD zinc finger superfamily protein
AT3G20310,ERF7,ethylene response factor 7
AT3G20550,DDL,SMAD/FHA domain-containing protein
AT3G20640,AT3G20640,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT3G20670,HTA13,histone H2A 13
AT3G20750,GATA29,GATA transcription factor 29
AT3G20770,EIN3,Ethylene insensitive 3 family protein
AT3G20800,AT3G20800,"Cell differentiation, Rcd1-like protein"
AT3G20810,JMJD5,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT3G20880,WIP4,WIP domain protein 4
AT3G21150,BBX32,B-box 32
AT3G21210,AT3G21210,zinc ion binding protein
AT3G21350,MED6,RNA polymerase transcriptional regulation mediator-like protein
AT3G21430,ALY3,DNA binding protein
AT3G21440,,
AT3G21810,AT3G21810,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT3G21880,BBX10,B-box type zinc finger protein with CCT domain-containing protein
AT3G21890,BBX31,B-box type zinc finger family protein
AT3G22100,AT3G22100,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT3G22170,FHY3,far-red elongated hypocotyls 3
AT3G22560,AT3G22560,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT3G22760,SOL1,Tesmin/TSO1-like CXC domain-containing protein
AT3G22780,TSO1,Tesmin/TSO1-like CXC domain-containing protein
AT3G22830,HSFA6B,heat shock transcription factor A6B
AT3G23030,IAA2,indole-3-acetic acid inducible 2
AT3G23050,IAA7,indole-3-acetic acid 7
AT3G23140,URO,C2H2 and C2HC zinc fingers superfamily protein
AT3G23150,ETR2,"Signal transduction histidine kinase, hybrid-type, ethylene sensor"
AT3G23230,TDR1,Integrase-type DNA-binding superfamily protein
AT3G23690,AT3G23690,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT3G24010,ING1,RING/FYVE/PHD zinc finger superfamily protein
AT3G24140,FMA,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT3G24340,CHR40,chromatin remodeling 40
AT3G24490,AT3G24490,Alcohol dehydrogenase transcription factor Myb/SANT-like family protein
AT3G24500,MBF1C,multiprotein bridging factor 1C
AT3G24520,HSFC1,heat shock transcription factor C1
AT3G24800,PRT1,proteolysis 1
AT3G24820,AT3G24820,BSD domain-containing protein
AT3G24850,AT3G24850,B3 domain protein (DUF313)
AT3G24860,AT3G24860,Homeodomain-like superfamily protein
AT3G25183,,
AT3G25710,BHLH32,basic helix-loop-helix 32
AT3G25790,AT3G25790,myb-like transcription factor family protein
AT3G25990,AT3G25990,Homeodomain-like superfamily protein
AT3G26620,LBD23,LOB domain-containing protein 23
AT3G26660,LBD24,LOB domain-containing protein 24
AT3G26744,ICE1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT3G27650,LBD25,LOB domain-containing protein 25
AT3G27700,AT3G27700,zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein
AT3G27785,MYB118,myb domain protein 118
AT3G27810,MYB21,myb domain protein 21
AT3G27920,MYB0,myb domain protein 0
AT3G27940,LBD26,LOB domain-containing protein 26
AT3G27970,AT3G27970,Exonuclease family protein
AT3G28470,TDF1,Duplicated homeodomain-like superfamily protein
AT3G28730,HMG,high mobility group
AT3G28857,PRE5,basic helix-loop-helix (bHLH) DNA-binding family protein
AT3G28917,MIF2,mini zinc finger 2
AT3G28920,HB34,homeobox protein 34
AT3G29340,AT3G29340,zinc finger (C2H2 type) family protein
AT3G30210,MYB121,myb domain protein 121
AT3G32090,AT3G32090,WRKY family transcription factor
AT3G42670,CHR38,chromatin remodeling 38
AT3G42790,AL3,alfin-like 3
AT3G42860,AT3G42860,zinc knuckle (CCHC-type) family protein
AT3G43240,AT3G43240,ARID/BRIGHT DNA-binding domain-containing protein
AT3G43430,AT3G43430,RING/U-box superfamily protein
AT3G43440,JAZ11,jasmonate-zim-domain protein 11
AT3G44290,NAC060,NAC domain containing protein 60
AT3G44460,DPBF2,Basic-leucine zipper (bZIP) transcription factor family protein
AT3G44750,HDA3,histone deacetylase 3
AT3G44785,AT3G44785,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT3G45260,AT3G45260,C2H2-like zinc finger protein
AT3G45880,AT3G45880,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT3G46080,AT3G46080,C2H2-type zinc finger family protein
AT3G46130,MYB48,myb domain protein 48
AT3G46580,MBD5,methyl-CPG-binding domain protein 5
AT3G46590,TRFL1,TRF-like 1
AT3G46600,AT3G46600,GRAS family transcription factor
AT3G46620,RDUF1,zinc finger (C3HC4-type RING finger) family protein
AT3G46770,AT3G46770,AP2/B3-like transcriptional factor family protein
AT3G46950,AT3G46950,Mitochondrial transcription termination factor family protein
AT3G47120,AT3G47120,RNA recognition motif (RRM)-containing protein
AT3G47640,PYE,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT3G47710,BNQ3,BANQUO 3
AT3G47870,LBD27,LOB domain-containing protein 27
AT3G48100,RR5,response regulator 5
AT3G48160,DEL1,DP-E2F-like 1
AT3G48360,BT2,BTB and TAZ domain protein 2
AT3G48430,REF6,relative of early flowering 6
AT3G48440,AT3G48440,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT3G48590,NF-YC1,"nuclear factor Y, subunit C1"
AT3G48600,AT3G48600,SWIB complex BAF60b domain-containing protein
AT3G49610,AT3G49610,B3 domain protein (DUF313)
AT3G49690,MYB84,myb domain protein 84
AT3G49760,bZIP5,basic leucine-zipper 5
AT3G49800,AT3G49800,BSD domain-containing protein
AT3G49850,TRB3,telomere repeat binding factor 3
AT3G49930,AT3G49930,C2H2 and C2HC zinc fingers superfamily protein
AT3G49940,LBD38,LOB domain-containing protein 38
AT3G49950,AT3G49950,GRAS family transcription factor
AT3G50060,MYB77,myb domain protein 77
AT3G50330,HEC2,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT3G50510,LBD28,LOB domain-containing protein 28
AT3G50650,AT3G50650,GRAS family transcription factor
AT3G50700,IDD2,indeterminate(ID)-domain 2
AT3G50750,BEH1,BES1/BZR1 homolog 1
AT3G50890,HB28,homeobox protein 28
AT3G51060,STY1,Lateral root primordium (LRP) protein-like protein
AT3G51120,AT3G51120,zinc finger CCCH domain-containing protein 44
AT3G51180,AT3G51180,Zinc finger C-x8-C-x5-C-x3-H type family protein
AT3G51470,AT3G51470,Protein phosphatase 2C family protein
AT3G51880,HMGB1,high mobility group B1
AT3G51910,HSFA7A,heat shock transcription factor A7A
AT3G51950,AT3G51950,Zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein
AT3G51960,BZIP24,basic leucine zipper 24
AT3G52100,AT3G52100,RING/FYVE/PHD-type zinc finger family protein
AT3G52250,AT3G52250,Duplicated homeodomain-like superfamily protein
AT3G52270,AT3G52270,"Transcription initiation factor IIF, beta subunit"
AT3G52525,OFP6,ovate family protein 6
AT3G52540,OFP18,ovate family protein 18
AT3G52910,GRF4,growth-regulating factor 4
AT3G53200,MYB27,myb domain protein 27
AT3G53310,AT3G53310,AP2/B3-like transcriptional factor family protein
AT3G53340,NF-YB10,"nuclear factor Y, subunit B10"
AT3G53370,AT3G53370,S1FA-like DNA-binding protein
AT3G53440,AT3G53440,Homeodomain-like superfamily protein
AT3G53680,AT3G53680,Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger domain-containing protein
AT3G53790,TRFL4,TRF-like 4
AT3G53820,AT3G53820,C2H2 and C2HC zinc fingers superfamily protein
AT3G53920,SIGC,RNApolymerase sigma-subunit C
AT3G54220,SCR,GRAS family transcription factor
AT3G54280,RGD3,ROOT GROWTH DEFECTIVE 3
AT3G54320,WRI1,Integrase-type DNA-binding superfamily protein
AT3G54350,emb1967,Forkhead-associated (FHA) domain-containing protein
AT3G54390,AT3G54390,sequence-specific DNA binding transcription factor
AT3G54430,SRS6,SHI-related sequence 6
AT3G54460,AT3G54460,SNF2 domain-containing protein / helicase domain-containing protein / F-box family protein
AT3G54610,HAG1,histone acetyltransferase of the GNAT family 1
AT3G55080,AT3G55080,SET domain-containing protein
AT3G55210,NAC063,NAC domain containing protein 63
AT3G55530,SDIR1,RING/U-box superfamily protein
AT3G55770,WLIM2b,GATA type zinc finger transcription factor family protein
AT3G55980,SZF1,salt-inducible zinc finger 1
AT3G56230,AT3G56230,BTB/POZ domain-containing protein
AT3G56380,RR17,response regulator 17
AT3G56400,WRKY70,WRKY DNA-binding protein 70
AT3G56520,AT3G56520,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT3G56560,NAC065,NAC domain containing protein 65
AT3G56570,AT3G56570,SET domain-containing protein
AT3G56660,BZIP49,basic region/leucine zipper motif protein 49
AT3G56770,AT3G56770,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT3G56850,AREB3,ABA-responsive element binding protein 3
AT3G57040,ARR9,response regulator 9
AT3G57130,BOP1,Ankyrin repeat family protein / BTB/POZ domain-containing protein
AT3G57300,INO80,DNA helicase INO80-like protein
AT3G57670,NTT,C2H2-type zinc finger family protein
AT3G57800,AT3G57800,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT3G58070,GIS,C2H2 and C2HC zinc fingers superfamily protein
AT3G58190,LBD29,lateral organ boundaries-domain 29
AT3G58630,AT3G58630,sequence-specific DNA binding transcription factor
AT3G58680,MBF1B,multiprotein bridging factor 1B
AT3G58710,WRKY69,WRKY DNA-binding protein 69
AT3G59470,AT3G59470,Far-red impaired responsive (FAR1) family protein
AT3G59580,AT3G59580,Plant regulator RWP-RK family protein
AT3G59960,ASHH4,histone-lysine N-methyltransferase ASHH4
AT3G60030,SPL12,squamosa promoter-binding protein-like 12
AT3G60080,AT3G60080,RING/U-box superfamily protein
AT3G60400,SHOT1,Mitochondrial transcription termination factor family protein
AT3G60460,DUO1,myb-like HTH transcriptional regulator family protein
AT3G60490,AT3G60490,Integrase-type DNA-binding superfamily protein
AT3G60580,AT3G60580,C2H2-like zinc finger protein
AT3G60630,HAM2,GRAS family transcription factor
AT3G60670,AT3G60670,PLATZ transcription factor family protein
AT3G61180,AT3G61180,RING/U-box superfamily protein
AT3G61230,PLIM2c,GATA type zinc finger transcription factor family protein
AT3G61420,AT3G61420,"BSD domain (BTF2-like transcription factors, Synapse-associated proteins and DOS2-like proteins)"
AT3G61460,BRH1,brassinosteroid-responsive RING-H2
AT3G61550,AT3G61550,RING/U-box superfamily protein
AT3G61600,POB1,POZ/BTB containin G-protein 1
AT3G61740,SDG14,SET domain protein 14
AT3G61830,ARF18,auxin response factor 18
AT3G61950,AT3G61950,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT3G61970,NGA2,AP2/B3-like transcriptional factor family protein
AT3G62090,PIL2,phytochrome interacting factor 3-like 2
AT3G62100,IAA30,indole-3-acetic acid inducible 30
AT3G62240,AT3G62240,RING/U-box superfamily protein
AT3G62260,AT3G62260,Protein phosphatase 2C family protein
AT3G62340,WRKY68,WRKY family transcription factor
AT3G62420,BZIP53,basic region/leucine zipper motif 53
AT3G62610,MYB11,myb domain protein 11
AT3G62670,RR20,two-component response regulator
AT3G62690,ATL5,AtL5
AT3G62850,AT3G62850,zinc finger protein-like protein
AT3G63030,MBD4,methyl-CPG-binding domain 4
AT3G63350,AT-HSFA7B,winged-helix DNA-binding transcription factor family protein
AT4G00130,AT4G00130,DNA-binding storekeeper protein-related transcriptional regulator
AT4G00150,HAM3,GRAS family transcription factor
AT4G00210,LBD31,LOB domain-containing protein 31
AT4G00220,JLO,Lateral organ boundaries (LOB) domain family protein
AT4G00232,AT4G00232,DNA-binding storekeeper protein-related transcriptional regulator
AT4G00238,AT4G00238,DNA-binding storekeeper protein-related transcriptional regulator
AT4G00250,AT4G00250,DNA-binding storekeeper protein-related transcriptional regulator
AT4G00260,MEE45,Transcriptional factor B3 family protein
AT4G00270,AT4G00270,DNA-binding storekeeper protein-related transcriptional regulator
AT4G00390,AT4G00390,DNA-binding storekeeper protein-related transcriptional regulator
AT4G00416,MBD3,methyl-CPG-binding domain 3
AT4G00480,ATMYC1,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G00610,AT4G00610,DNA-binding storekeeper protein-related transcriptional regulator
AT4G00760,APRR8,pseudo-response regulator 8
AT4G00850,GIF3,GRF1-interacting factor 3
AT4G00990,AT4G00990,Transcription factor jumonji (jmjC) domain-containing protein
AT4G01060,CPL3,CAPRICE-like MYB3
AT4G01120,GBF2,G-box binding factor 2
AT4G01260,AT4G01260,DNA-binding storekeeper protein-related transcriptional regulator
AT4G01280,AT4G01280,Homeodomain-like superfamily protein
AT4G01350,AT4G01350,Cysteine/Histidine-rich C1 domain family protein
AT4G01460,AT4G01460,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G01520,NAC067,NAC domain containing protein 67
AT4G01580,AT4G01580,AP2/B3-like transcriptional factor family protein
AT4G02020,SWN,SET domain-containing protein
AT4G02235,AGL51,AGAMOUS-like 51
AT4G02560,LD,Homeodomain-like superfamily protein
AT4G02590,UNE12,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G02670,IDD12,indeterminate(ID)-domain 12
AT4G02870,AT4G02870,B3 domain protein
AT4G02990,BSM,Mitochondrial transcription termination factor family protein
AT4G03170,AT4G03170,AP2/B3-like transcriptional factor family protein
AT4G03510,RMA1,RING membrane-anchor 1
AT4G04030,OFP9,transcription repressor
AT4G04090,AT4G04090,BTB/POZ domain-containing protein
AT4G04404,AT4G04404,C2H2 and C2HC zinc fingers superfamily protein
AT4G04580,AT4G04580,Homeodomain-like superfamily protein
AT4G04885,PCFS4,PCF11P-similar protein 4
AT4G04890,PDF2,protodermal factor 2
AT4G05100,MYB74,myb domain protein 74
AT4G05170,AT4G05170,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT4G05350,AT4G05350,RING/U-box superfamily protein
AT4G05630,AT4G05630,B3 domain protein
AT4G06634,YY1,zinc finger (C2H2 type) family protein
AT4G08250,AT4G08250,GRAS family transcription factor
AT4G08455,AT4G08455,BTB/POZ domain-containing protein
AT4G09100,AT4G09100,RING/U-box superfamily protein
AT4G09460,MYB6,myb domain protein 6
AT4G10240,bbx23,B-box zinc finger family protein
AT4G10350,NAC070,NAC domain containing protein 70
AT4G10600,AT4G10600,RING/FYVE/PHD zinc finger superfamily protein
AT4G10920,KELP,transcriptional coactivator p15 (PC4) family protein (KELP)
AT4G10940,,
AT4G11080,3xHMG-box1,HMG (high mobility group) box protein
AT4G11140,CRF1,cytokinin response factor 1
AT4G11250,AGL52,AGAMOUS-like 52
AT4G11400,AT4G11400,"ARID/BRIGHT DNA-binding , ELM2 domain and myb-like DNA-binding domain-containing protein"
AT4G11680,AT4G11680,"Zinc finger, C3HC4 type (RING finger) family protein"
AT4G12020,WRKY19,protein kinase family protein
AT4G12040,SAP7,A20/AN1-like zinc finger family protein
AT4G12210,AT4G12210,RING/U-box superfamily protein
AT4G12240,AT4G12240,zinc finger (C2H2 type) family protein
AT4G12350,MYB42,myb domain protein 42
AT4G12610,RAP74,transcription initiation factor IIF subunit alpha RAP74
AT4G12620,ORC1B,origin of replication complex 1B
AT4G12670,AT4G12670,Homeodomain-like superfamily protein
AT4G12850,AT4G12850,Far-red impaired responsive (FAR1) family protein
AT4G13110,AT4G13110,BSD domain-containing protein
AT4G13460,SUVH9,SU(VAR)3-9 homolog 9
AT4G13480,MYB79,myb domain protein 79
AT4G13620,AT4G13620,Integrase-type DNA-binding superfamily protein
AT4G13980,AT-HSFA5,winged-helix DNA-binding transcription factor family protein
AT4G14225,AT4G14225,A20/AN1-like zinc finger family protein
AT4G14490,AT4G14490,SMAD/FHA domain-containing protein
AT4G14540,NF-YB3,"nuclear factor Y, subunit B3"
AT4G14550,IAA14,indole-3-acetic acid inducible 14
AT4G14560,IAA1,indole-3-acetic acid inducible
AT4G14605,MDA1,Mitochondrial transcription termination factor family protein
AT4G14700,ORC1A,origin recognition complex 1
AT4G14713,PPD1,TIFY domain/Divergent CCT motif family protein
AT4G14720,AT4G14720,TIFY domain/Divergent CCT motif family protein
AT4G14770,TCX2,TESMIN/TSO1-like CXC 2
AT4G14860,OFP11,ovate family protein 11
AT4G14920,AT4G14920,Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein
AT4G15090,FAR1,FRS (FAR1 Related Sequences) transcription factor family
AT4G15180,SDG2,SET domain protein 2
AT4G15248,BBX30,B-box type zinc finger family protein
AT4G15250,BBX9,B-box type zinc finger protein with CCT domain-containing protein
AT4G15420,AT4G15420,Ubiquitin fusion degradation UFD1 family protein
AT4G16110,RR2,response regulator 2
AT4G16141,AT4G16141,GATA type zinc finger transcription factor family protein
AT4G16150,AT4G16150,calmodulin-binding transcription activator 5
AT4G16310,LDL3,LSD1-like 3
AT4G16420,ADA2B,ADA2 2B
AT4G16610,AT4G16610,C2H2-like zinc finger protein
AT4G16845,VRN2,VEFS-Box of polycomb protein
AT4G17230,SCL13,SCARECROW-like 13
AT4G17570,GATA26,GATA transcription factor 26
AT4G17695,KAN3,Homeodomain-like superfamily protein
AT4G17710,HDG4,homeodomain GLABROUS 4
AT4G17750,HSF1,heat shock factor 1
AT4G17780,AT4G17780,F-box and associated interaction domains-containing protein
AT4G17785,MYB39,myb domain protein 39
AT4G17810,AT4G17810,C2H2 and C2HC zinc fingers superfamily protein
AT4G17900,AT4G17900,PLATZ transcription factor family protein
AT4G17920,AT4G17920,RING/U-box superfamily protein
AT4G17980,NAC071,NAC domain containing protein 71
AT4G18110,AT4G18110,RING/U-box superfamily protein
AT4G18470,SNI1,negative regulator of systemic acquired resistance (SNI1)
AT4G18770,MYB98,myb domain protein 98
AT4G18830,OFP5,ovate family protein 5
AT4G18890,BEH3,BES1/BZR1 homolog 3
AT4G19000,IWS2,Transcription elongation factor (TFIIS) family protein
AT4G19630,AT4G19630,winged-helix DNA-binding transcription factor family protein
AT4G19650,AT4G19650,Mitochondrial transcription termination factor family protein
AT4G19660,NPR4,NPR1-like protein 4
AT4G19985,AT4G19985,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT4G19990,FRS1,FAR1-related sequence 1
AT4G20280,TAF11,TBP-associated factor 11
AT4G20380,LSD1,LSD1 zinc finger family protein
